;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
canicule2018;-0.09989641606807709;0.36337798833847046;-0.1509406417608261;-0.2806279957294464;-0.4641048312187195;0.05421401932835579;0.07750876992940903;-0.11506148427724838;-0.400911420583725;-0.2176108956336975;0.3813641369342804;-0.41606059670448303;0.23402057588100433;-0.3177681267261505;-0.14965789020061493;0.6367332339286804;-0.20516081154346466;-0.3658131957054138;-0.5854083895683289;0.014969478361308575;-0.018742036074399948;0.1767144501209259;0.3977091312408447;0.0201947633177042;-0.18596987426280975;0.005124520044773817;0.053841445595026016;0.24917545914649963;0.05082812160253525;0.3188852071762085;-0.024952013045549393;-0.41221189498901367;-0.3840426802635193;-0.5786072015762329;0.1255185604095459;-0.15244422852993011;0.126262828707695;-0.36047953367233276;-0.03997870162129402;0.3543914258480072;-0.35287564992904663;0.5879300236701965;0.30092012882232666;-0.3362838327884674;0.3787079155445099;-0.4620009958744049;-0.07544072717428207;0.3024834096431732;0.099345363676548;0.16898053884506226;-0.190703883767128;0.07424745708703995;-0.03312920778989792;-0.7891426086425781;-0.7812737822532654;0.32039523124694824;-0.03511056676506996;0.053706228733062744;0.2850150763988495;0.21214431524276733;-0.3243768513202667;0.29793426394462585;0.10875635594129562;-0.4117780327796936;-0.15590962767601013;0.2419092208147049;0.3012019991874695;0.4571293294429779;-0.12073631584644318;-0.037257757037878036;-0.10640808939933777;0.02780202031135559;-0.22966501116752625;0.007207900285720825;0.30192291736602783;-0.06610651314258575;-0.01477416604757309;0.36281082034111023;0.08973129093647003;-0.4458760917186737;0.3991927206516266;0.2595425546169281;-0.37473243474960327;-0.7976387739181519;0.30492717027664185;0.24714146554470062;-0.1825188398361206;0.24057506024837494;-0.6449955701828003;-0.07541850954294205;-0.08540001511573792;-0.15621906518936157;0.6678157448768616;0.6512010097503662;-0.03586895391345024;-0.49136289954185486;-0.18650011718273163;-0.15658636391162872;-0.48718398809432983;-0.4675460159778595
océans;0.1736195832490921;0.5131587386131287;-0.11690966784954071;-0.23279504477977753;-0.5748840570449829;-0.41717758774757385;0.17265483736991882;0.10495945066213608;-0.8806358575820923;-0.1144721657037735;0.6420494318008423;-0.4862920343875885;0.36468935012817383;-0.19180631637573242;-0.06879384815692902;-0.10657094419002533;-0.34399765729904175;-0.616174578666687;-0.26292189955711365;-0.6186606287956238;-0.43263787031173706;-0.4309079647064209;0.359276682138443;-0.2873922884464264;0.17166803777217865;0.06278012692928314;-0.08652363717556;0.05022992938756943;0.10402949154376984;0.17129185795783997;-0.18159493803977966;0.028332853689789772;-0.39052078127861023;-0.23171964287757874;-0.08546827733516693;0.2926250398159027;-0.01309927087277174;0.1490371972322464;-0.2050849199295044;0.09540319442749023;-0.24629342555999756;0.3673854470252991;0.13392047584056854;-0.6416224241256714;0.31091076135635376;-0.24673783779144287;0.129203662276268;0.5062268972396851;-0.4026908874511719;0.11904901266098022;0.1388450264930725;-0.0025077699683606625;-0.5296691060066223;-0.3890838027000427;-0.2363351583480835;0.004850474186241627;-0.17132523655891418;-0.2051081359386444;0.4203178882598877;-0.1505495309829712;-0.4875108301639557;-0.06810810416936874;-0.1779438555240631;-0.3396645486354828;-0.3071509003639221;-0.03952028229832649;-0.37809988856315613;0.3684679865837097;0.06156850606203079;-0.6566779017448425;-0.0289355106651783;-0.17313331365585327;-0.3625454306602478;-0.35183101892471313;0.2829526364803314;0.008882423862814903;0.0842355266213417;0.05632554367184639;0.059228189289569855;-0.333366721868515;0.5274797677993774;0.3434588313102722;-0.3802235722541809;-0.18335410952568054;0.9750568270683289;0.19562554359436035;-0.6055739521980286;0.2040688693523407;-0.15639159083366394;-0.03581145033240318;0.16921035945415497;-0.1458388864994049;0.5435299277305603;-0.058132924139499664;-0.6236187219619751;-0.716401994228363;0.24710515141487122;0.9059063196182251;-0.37298762798309326;-0.05447079986333847
dioxines;-0.013718238100409508;0.44428884983062744;-0.20247578620910645;-0.18800130486488342;-0.21484501659870148;0.1171632781624794;0.29224374890327454;0.10289138555526733;-0.14400352537631989;0.2412371039390564;0.29858967661857605;-0.16745755076408386;0.060891736298799515;-0.09910894930362701;-0.09854009747505188;0.29889532923698425;-0.027790699154138565;-0.14551346004009247;-0.08280421048402786;-0.17989212274551392;0.02187216840684414;-0.3409227132797241;0.11575908958911896;-0.3109232187271118;0.007037719711661339;0.08769333362579346;-0.19100730121135712;0.16473619639873505;0.032257430255413055;0.10590158402919769;-0.17575591802597046;-0.03456617146730423;-0.10427659749984741;-0.29439982771873474;-0.2619425654411316;0.2080571949481964;-0.00477236695587635;-0.09543439745903015;-0.08202425390481949;-0.08042293787002563;-0.10295381397008896;0.12356291711330414;0.012146951630711555;-0.29419443011283875;0.10429026186466217;-0.39136040210723877;-0.024770550429821014;0.27715903520584106;-0.07582388073205948;-0.15892893075942993;-0.030783049762248993;0.16331540048122406;0.019464096054434776;-0.09435683488845825;-0.17564114928245544;0.0161481574177742;-0.07505303621292114;-0.1592036485671997;0.06891949474811554;-0.11632324755191803;-0.19819822907447815;0.15144065022468567;-0.009884681552648544;-0.1958162784576416;-0.1769530177116394;0.18726767599582672;-0.03985661268234253;0.20979098975658417;0.0987236499786377;-0.31186947226524353;0.07021079957485199;0.05554153397679329;-0.19101251661777496;-0.13843928277492523;0.16769914329051971;0.003767494112253189;0.16130846738815308;0.0101514533162117;0.03321772813796997;-0.11107249557971954;0.09563449025154114;0.3434141278266907;-0.022153189405798912;-0.3305421769618988;0.1984807252883911;0.03955037146806717;-0.25431114435195923;0.25104522705078125;-0.38310396671295166;0.039450354874134064;-0.061823900789022446;-0.2747293710708618;0.1771787405014038;0.016314879059791565;-0.19963988661766052;-0.14354440569877625;0.10041050612926483;0.251252681016922;-0.28377360105514526;-0.0358351431787014
mi-journée;0.015007560141384602;0.2545921802520752;-0.15787948668003082;-0.3122707009315491;-0.2141297608613968;0.21718516945838928;-0.21927432715892792;0.08851667493581772;-0.17859885096549988;0.27639397978782654;-0.08060097694396973;-0.7274235486984253;-0.06741449236869812;-0.01149492897093296;-0.17300526797771454;0.038741324096918106;-0.32937783002853394;-0.17716482281684875;-0.4208163321018219;0.3837625980377197;-0.3414561450481415;0.02135678008198738;0.81797856092453;-0.3265886902809143;-0.31396570801734924;0.33079248666763306;-0.33507734537124634;0.09114561975002289;0.5987443923950195;0.19748099148273468;-0.497206449508667;-0.6308408975601196;0.1873832643032074;-0.2699802815914154;0.1648389846086502;-0.015188926830887794;-0.0188487209379673;0.16834737360477448;0.3626198172569275;0.17875011265277863;0.07232809066772461;0.3858715891838074;0.24230971932411194;-0.3168186545372009;-0.24503616988658905;-0.5796328783035278;0.2266521006822586;0.5542641878128052;0.1354847103357315;0.3079422116279602;-0.043603021651506424;-0.04689992591738701;0.19804348051548004;0.056534189730882645;-0.5687510371208191;-0.19254668056964874;-0.047221340239048004;0.1211690679192543;0.4156121611595154;0.27510979771614075;-0.6025497317314148;-0.11343890428543091;0.03926379606127739;-0.281376451253891;0.09067987650632858;0.2514181137084961;0.5039201378822327;0.24876108765602112;0.31290680170059204;-0.08066536486148834;-0.060628730803728104;-0.028073947876691818;-0.5861564874649048;-0.3093668818473816;0.4089922308921814;0.41817378997802734;-0.12771469354629517;0.4009210467338562;-0.40051642060279846;-0.26267775893211365;0.16515418887138367;0.4954386353492737;-0.6167308688163757;-0.46981120109558105;0.38447123765945435;0.029068151488900185;-0.0510656014084816;0.1237032413482666;-0.7469345927238464;0.10855132341384888;0.1754334568977356;-0.2682828903198242;0.7621327638626099;0.17212021350860596;-0.11071228981018066;-0.07729922235012054;0.24947229027748108;0.020541559904813766;-0.0846068412065506;-0.37725529074668884
sédentarité;0.23349758982658386;0.5532015562057495;-0.3339177966117859;-0.3747940957546234;-0.30619189143180847;-0.008981553837656975;0.037968289107084274;0.07592502981424332;0.029376814141869545;-0.08691808581352234;-0.23763509094715118;-0.19282491505146027;0.2756803631782532;-0.092013880610466;-0.2451653927564621;0.2440151870250702;0.0037039280869066715;0.06731100380420685;-0.21142268180847168;-0.38156455755233765;0.24944396317005157;-0.2637876868247986;0.47942739725112915;-0.6196070909500122;0.21122872829437256;-0.0005242616171017289;-0.2098727971315384;0.1704316884279251;0.2969966530799866;0.23076477646827698;-0.06172490119934082;-0.24777433276176453;-0.3020833432674408;-0.27241644263267517;0.0143531933426857;0.167915478348732;-0.1490136682987213;-0.20916847884655;-0.25865256786346436;-0.1872824877500534;-0.13427017629146576;0.09227804094552994;-0.5485935807228088;-0.2315681278705597;-0.057999301701784134;-0.7030888199806213;0.033939115703105927;0.39030155539512634;-0.11841671168804169;-0.15026284754276276;-0.11794718354940414;-0.33652830123901367;-0.49121159315109253;-0.4258245527744293;-0.27127310633659363;0.07648321241140366;0.05994833633303642;-0.48934680223464966;0.18801529705524445;-0.3142150640487671;-0.7189415693283081;-0.05469822883605957;0.2509513199329376;-0.1948891580104828;-0.19525013864040375;0.36636650562286377;0.11690683662891388;0.5984749794006348;-0.17764709889888763;-0.22344474494457245;0.07217048108577728;0.1747652292251587;-0.34985876083374023;0.31884458661079407;0.49627867341041565;0.28661152720451355;0.2630757689476013;-0.0598343126475811;0.06551493704319;-0.22901001572608948;0.4316794276237488;0.4567689895629883;-0.38345903158187866;-0.3871355354785919;-0.14873673021793365;-0.02154410444200039;-0.2520584464073181;0.3473189175128937;-0.29953324794769287;-0.14003953337669373;0.02698172628879547;-0.5879433751106262;0.5281664133071899;0.2961505055427551;0.0015924423933029175;-0.47227567434310913;-0.048244886100292206;0.28240707516670227;0.06619782745838165;-0.052208803594112396
gaspillage;0.04482019692659378;-0.08384405821561813;-0.2175755798816681;-0.4132276475429535;-0.3446279466152191;0.24282971024513245;0.3458247780799866;0.5690404176712036;-0.16091667115688324;-0.2793242037296295;0.7326645851135254;-0.18377214670181274;0.4362565875053406;-0.4268190264701843;-0.07396361976861954;0.6553807854652405;-0.2824256420135498;-0.2517465054988861;0.23790040612220764;-0.4365394711494446;-0.1939454823732376;0.010233709588646889;0.14268887042999268;-0.13496069610118866;0.2918022572994232;0.26060205698013306;-0.48694881796836853;0.2682611048221588;0.07607074826955795;0.02263917587697506;-0.3484854996204376;0.4153568148612976;0.12201088666915894;-0.4599592089653015;-0.1763894408941269;0.39441362023353577;-0.011855955235660076;0.1682475507259369;-0.2734200954437256;-0.08697590231895447;0.20148830115795135;0.6209946870803833;-0.15581436455249786;-0.4513230323791504;0.049023572355508804;-0.7119688987731934;0.24415254592895508;0.0731370747089386;-0.2813342809677124;-0.1950947344303131;0.05399342253804207;-0.34940794110298157;-0.18637093901634216;0.1028146967291832;-0.3502907156944275;0.1558665931224823;-0.10334702581167221;-0.4242195188999176;-0.008241822011768818;-0.0058485837653279305;-0.7357655763626099;0.10524461418390274;-0.24577036499977112;-0.20048308372497559;-0.31245318055152893;0.5679548978805542;0.348183274269104;0.7185099720954895;-0.41258159279823303;-0.4634508192539215;0.11982152611017227;0.7233296036720276;-0.7110902667045593;0.10351886600255966;0.377065509557724;0.21514172852039337;0.08129279315471649;-0.26350829005241394;0.13310638070106506;-0.2633839249610901;0.5725302696228027;0.4268978536128998;-0.18008342385292053;-0.48086994886398315;-0.10773575305938721;0.31476902961730957;-0.20544545352458954;0.5435744524002075;-0.171258345246315;-0.31358519196510315;-0.24724753201007843;-0.7467914819717407;0.6523994207382202;0.38234996795654297;0.034102849662303925;-0.6058390140533447;-0.15707837045192719;0.40133365988731384;0.032216209918260574;-0.19224536418914795
picpollution;0.05623903125524521;0.34143856167793274;0.0031330720521509647;-0.2442353516817093;-0.31905418634414673;-0.06009664386510849;0.2867277264595032;-0.02639024332165718;-0.21770934760570526;0.11865391582250595;-0.029872369021177292;-0.3064512610435486;0.07614117860794067;0.013903094455599785;-0.10044097900390625;0.2005372941493988;-0.00953662395477295;-0.269446462392807;-0.17953640222549438;-0.23603388667106628;-0.03886721655726433;-0.05408693477511406;0.38164281845092773;-0.2937038540840149;-0.04598624259233475;0.3526414930820465;-0.2131117284297943;0.12351278960704803;0.2005244493484497;0.26241356134414673;-0.21505895256996155;-0.09012110531330109;0.08775024861097336;-0.24426522850990295;-0.07650740444660187;0.014605170115828514;0.12645600736141205;-0.03293590247631073;-0.020804647356271744;-0.1267423778772354;0.009863619692623615;0.26820844411849976;0.09793282300233841;-0.1947474181652069;-0.14922691881656647;-0.3942928612232208;-0.047289520502090454;0.0020936578512191772;-0.008664501830935478;0.058969371020793915;-0.06825584918260574;0.11215263605117798;0.20996937155723572;0.14276103675365448;-0.25226911902427673;0.06259378045797348;0.10176291316747665;-0.30520346760749817;0.16342207789421082;0.13418641686439514;-0.29797810316085815;0.16751359403133392;0.01049379725009203;-0.06903788447380066;0.04900359734892845;0.2780003249645233;0.2564670443534851;0.3192867040634155;-0.0674290880560875;0.018447838723659515;0.044775526970624924;0.2890414893627167;-0.36843839287757874;-0.45991402864456177;0.15142109990119934;0.0012900769943371415;-0.13421961665153503;0.12839296460151672;-0.2346237152814865;-0.22156038880348206;0.0775928646326065;0.2383052110671997;-0.20656828582286835;-0.4288681149482727;0.02721446380019188;0.21526622772216797;-0.161503404378891;0.29442185163497925;-0.11122892051935196;0.24858708679676056;-4.9176811444340274e-05;-0.3108116090297699;0.08509190380573273;0.11421650648117065;-0.1181061714887619;-0.13624690473079681;-0.058126162737607956;0.15624423325061798;-0.09531475603580475;-0.23766879737377167
étouffante;-0.016216915100812912;0.2898220419883728;0.05491046980023384;-0.03947998210787773;-0.026108358055353165;0.34485501050949097;0.34272879362106323;0.748867392539978;0.019623108208179474;0.16279396414756775;-0.0481063649058342;-0.38076210021972656;-0.07210849225521088;0.06934558600187302;-0.44941776990890503;0.1457318365573883;0.3248322904109955;-0.42738622426986694;-0.7194777727127075;-0.057251881808042526;0.3554544150829315;-0.11181028932332993;0.3173811435699463;-0.17349441349506378;0.2070542573928833;-0.21027949452400208;-0.2925185561180115;0.1029893159866333;-0.03248020261526108;0.13792124390602112;0.2340410053730011;-0.8050810694694519;-0.6386440992355347;-0.9179098010063171;0.05142337083816528;-0.009066812694072723;0.039311155676841736;-0.32113659381866455;-0.1866113841533661;0.37793129682540894;-0.07761016488075256;0.3501247465610504;0.49993881583213806;-0.2844424247741699;-0.5963773131370544;-0.18855346739292145;0.06829972565174103;-0.11229708045721054;0.022450041025877;-0.16817942261695862;-0.25842010974884033;-0.32595059275627136;0.14173880219459534;-0.47578850388526917;-0.11118431389331818;0.06988776475191116;-0.07358335703611374;0.03891966864466667;0.22804264724254608;-0.0513947419822216;-0.2236882448196411;0.08159955590963364;0.39952221512794495;0.2367502748966217;-0.24304752051830292;0.7120478749275208;-0.04858967661857605;0.5192553400993347;-0.03706508129835129;0.15599867701530457;0.3043050169944763;0.08147134631872177;0.15138548612594604;0.09292025864124298;0.06792349368333817;0.6853381991386414;0.3202984929084778;0.4600389003753662;-0.31407684087753296;-0.6755836606025696;0.3992631137371063;0.6954737305641174;-0.3352717459201813;-0.5527548789978027;0.14980670809745789;-0.0220453180372715;-0.2959836721420288;-0.34015092253685;-0.309715211391449;0.21686875820159912;-0.28058040142059326;-0.15719345211982727;0.7824563384056091;0.584399402141571;-0.12707354128360748;-0.4187076985836029;-0.20414002239704132;0.22606980800628662;-0.008353087119758129;-0.5422892570495605
sosreef;0.13114340603351593;0.25010624527931213;-0.0012792858760803938;-0.3198935389518738;-0.26252999901771545;-0.04886142536997795;0.22350037097930908;0.15486818552017212;-0.3808022439479828;0.13272230327129364;0.20938213169574738;-0.16943292319774628;0.22798381745815277;0.0644044503569603;-0.1219722330570221;0.26776447892189026;-0.09372353553771973;-0.16504476964473724;0.03742578998208046;-0.1822269707918167;-0.09740786999464035;-0.19792790710926056;0.28992024064064026;-0.16913244128227234;0.0773894414305687;0.12228357791900635;-0.21144923567771912;0.058930862694978714;0.03492157533764839;0.1483047902584076;-0.16429470479488373;0.1750502735376358;-0.026118040084838867;-0.14915688335895538;-0.10395503789186478;0.13325020670890808;-0.031443096697330475;-0.006467337254434824;-0.07531147450208664;-0.14623978734016418;-0.022193029522895813;-0.022133314982056618;-0.005000617355108261;-0.31086960434913635;-0.2085603028535843;-0.47963690757751465;0.10134288668632507;0.02328401803970337;0.05500603839755058;-0.1601312756538391;-0.09656345099210739;-0.06590808928012848;0.060514647513628006;-0.09078732877969742;-0.17027713358402252;0.0835329070687294;-0.10932989418506622;-0.19666315615177155;0.1479577273130417;-0.17461980879306793;-0.3991091251373291;0.02629811316728592;-0.14811846613883972;-0.11116112768650055;-0.08237151056528091;0.26220452785491943;0.2791886329650879;0.5088359713554382;0.10451523959636688;0.034152884036302567;0.11440616846084595;0.08773688971996307;-0.30917826294898987;-0.14090809226036072;0.11652932316064835;0.07038391381502151;0.02654326893389225;0.2389564961194992;0.02310948818922043;0.015840977430343628;0.19515439867973328;0.07285644114017487;-0.04218199476599693;-0.44089993834495544;-0.03158729895949364;-0.03376328945159912;-0.20639583468437195;0.4010586142539978;-0.13518330454826355;0.18528743088245392;0.049315713346004486;-0.13486433029174805;0.25477948784828186;0.09415419399738312;-0.23554569482803345;-0.19121158123016357;0.2752091586589813;0.22633646428585052;-0.21851088106632233;-0.21634623408317566
vigilanceorange;-0.09497644752264023;0.45242151618003845;-0.4451661705970764;-0.2725949287414551;-0.4480556845664978;0.2763752043247223;0.3006201386451721;-0.13779988884925842;-0.38124728202819824;0.08344446122646332;-0.23466649651527405;-0.771579384803772;-0.08191047608852386;-0.321014404296875;-0.13884475827217102;0.16723909974098206;0.02745741978287697;-0.14737467467784882;-0.15681201219558716;-0.019032852724194527;-0.35462766885757446;0.20196762681007385;0.8637393116950989;-0.14831958711147308;-0.5364468693733215;0.12150824069976807;-0.19655105471611023;0.12966883182525635;0.23923766613006592;0.3641992509365082;-0.29476165771484375;-0.7156979441642761;-0.37056446075439453;-0.7525689601898193;0.27639392018318176;-0.2382138967514038;0.3242639899253845;-0.017441540956497192;-0.09360796958208084;0.6748538017272949;0.032846350222826004;0.7852538824081421;0.3615112900733948;-0.7995026707649231;-0.19087077677249908;-0.4580633044242859;0.3033175468444824;0.5405840873718262;0.3734995722770691;-0.01569123938679695;-0.04739201441407204;0.07111804187297821;0.12027870118618011;-0.05078742653131485;-0.3953872621059418;0.04051125794649124;0.05473671108484268;-0.17822687327861786;0.7612162828445435;0.5017650127410889;-0.39693886041641235;0.29559415578842163;0.14187590777873993;-0.39313969016075134;-0.12037129700183868;0.3406370282173157;0.30853742361068726;0.09120307117700577;0.5508648157119751;0.08305276185274124;0.029655229300260544;0.16519534587860107;-0.4167821407318115;-0.36677780747413635;0.22803382575511932;0.12711381912231445;-0.0704459697008133;0.4990648627281189;-0.2548968195915222;-0.5994901657104492;0.0652708038687706;0.3396441340446472;-0.7349802851676941;-0.9998852014541626;0.3801843523979187;0.19498813152313232;-0.17556318640708923;-0.4583394527435303;-0.7775377035140991;0.1589038223028183;0.012009190395474434;-0.3327799439430237;0.5929964184761047;0.3159266710281372;-0.3075730800628662;-0.15571647882461548;-0.13612234592437744;0.11245503276586533;-0.13297049701213837;-0.5875886082649231
