;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
rickman;0.4909830093383789;-0.1653069704771042;0.37346234917640686;0.0961531326174736;-0.004685175139456987;0.10690703243017197;-0.07093639671802521;0.6591221690177917;-0.799318253993988;0.003578372299671173;0.4929313659667969;-0.4891158640384674;-0.36030879616737366;0.02710571512579918;-0.1968151330947876;0.026572221890091896;-0.4950472414493561;0.16902361810207367;0.1604091227054596;-0.03797769173979759;0.2963845729827881;-0.5280534029006958;-0.17366409301757812;-0.13424436748027802;-0.32144635915756226;-0.567978024482727;-0.1264161765575409;-0.33019328117370605;-0.07034517824649811;0.6529568433761597;0.050477683544158936;-0.45422229170799255;-0.7472220659255981;0.3557974696159363;-0.5332174897193909;-0.27924758195877075;0.267205148935318;-0.13293156027793884;0.02411123923957348;0.09217242896556854;0.24255160987377167;-0.1962086409330368;0.3198205232620239;0.2974970042705536;-0.02381530962884426;-0.16703997552394867;-0.40787848830223083;-0.3416807949542999;0.19728928804397583;-0.07796207070350647;0.1480199545621872;0.14694398641586304;0.05704289674758911;-0.03705696761608124;0.2323811948299408;-0.21232092380523682;-0.27226579189300537;-0.030442912131547928;0.08454787731170654;-0.2276001274585724;-0.31662407517433167;0.18876317143440247;0.5234077572822571;-0.14673006534576416;-0.405433714389801;-0.32827436923980713;-0.19185063242912292;-0.013977788388729095;0.4829864501953125;-0.02224843017756939;-0.0939258262515068;-0.15703174471855164;0.21574656665325165;-0.6507707834243774;0.14629805088043213;0.5316112041473389;-0.3868986964225769;-0.22961744666099548;0.032844558358192444;-0.08139016479253769;0.25994735956192017;0.6007133722305298;0.14875733852386475;-0.29403024911880493;-0.13960698246955872;-0.12823186814785004;-0.7154369950294495;0.323782354593277;-0.22565755248069763;0.6041435599327087;0.33289867639541626;0.25295519828796387;0.19872522354125977;0.24135954678058624;-0.23239609599113464;-0.05823032930493355;0.7227036356925964;0.7734576463699341;-0.28152427077293396;0.5220863223075867
miliband;-0.047386977821588516;-0.20198900997638702;0.12363019585609436;-0.03605366125702858;-0.019877485930919647;0.09339402616024017;-0.17236509919166565;0.4102940857410431;-0.7787337303161621;0.3198660612106323;-0.21444976329803467;-0.3356706500053406;0.09401630610227585;0.3011826276779175;-0.6828163862228394;0.2854957580566406;-0.3747755289077759;-0.33682912588119507;0.21096879243850708;-0.20992277562618256;0.5997618436813354;-0.2929953336715698;0.060384731739759445;-0.11821475625038147;-0.3011007606983185;0.04829514026641846;-0.13213424384593964;-0.37045401334762573;0.14343927800655365;0.5828790068626404;-0.15326344966888428;-0.1788586974143982;0.15787959098815918;-0.05758195370435715;-0.651298999786377;-0.050051771104335785;-0.13449735939502716;0.005237755365669727;0.057401057332754135;-0.2857552766799927;0.09225450456142426;-0.14582090079784393;0.2291111946105957;-0.0436406247317791;0.035160548985004425;-0.45758599042892456;-0.33740007877349854;0.2061891257762909;-0.18322983384132385;-0.4883495569229126;0.018279103562235832;-0.028097815811634064;-0.5025073289871216;0.11667631566524506;-0.11023522913455963;-0.16261456906795502;0.008007261902093887;0.008904263377189636;0.1684947907924652;-0.25126928091049194;-0.30444738268852234;0.38709595799446106;0.8808245658874512;0.15834613144397736;-0.12849672138690948;-0.026806382462382317;0.42978495359420776;-0.008165841922163963;-0.12694233655929565;0.24178466200828552;0.1259649693965912;-0.06772642582654953;-0.053684644401073456;-0.6852854490280151;0.04245300218462944;0.030567171052098274;0.29029130935668945;0.07494153082370758;0.0392911359667778;0.11612693220376968;0.028422968462109566;0.49312591552734375;0.09473222494125366;0.12495730817317963;0.03588152676820755;-0.2598949670791626;-0.5422224998474121;0.38374611735343933;-0.31611061096191406;0.5113159418106079;0.12970386445522308;-0.32223519682884216;0.5282753109931946;0.19164466857910156;-0.37956365942955017;-0.13696002960205078;0.0713048055768013;0.10020750761032104;-0.21070151031017303;0.18500305712223053
conaughey;-0.05507776141166687;0.049054987728595734;0.36987438797950745;-0.1490369737148285;-0.025462407618761063;0.01850929856300354;-0.06656599044799805;0.4903651177883148;-0.24477043747901917;0.25239330530166626;0.20922362804412842;-0.005596841685473919;-0.23948915302753448;0.3052670359611511;-0.2311202585697174;0.13623616099357605;-0.5910986065864563;-0.09386342763900757;0.10999400913715363;0.04107644408941269;0.09678977727890015;-0.3188796937465668;0.009959147311747074;-0.017276380211114883;-0.24486668407917023;-0.07408411800861359;-0.0948273316025734;-0.061061613261699677;-0.01596732810139656;0.22170260548591614;-0.1302061825990677;-0.12114938348531723;-0.014989860355854034;-0.02084808424115181;-0.28133565187454224;-0.031137460842728615;0.1161462813615799;-0.44009965658187866;0.04755725711584091;0.009815173223614693;-0.09621790796518326;0.09169717133045197;0.30034714937210083;0.15166041254997253;-0.34606197476387024;-0.154469832777977;-0.3670707643032074;-0.1868923306465149;0.20563456416130066;-0.10661335289478302;-0.015560323372483253;0.21086159348487854;0.29880768060684204;-0.17508327960968018;-0.24081440269947052;0.06427768617868423;-0.028024937957525253;-0.15251557528972626;0.2746219038963318;-0.1115308403968811;-0.24567918479442596;0.2993532121181488;0.13034328818321228;-0.06970285624265671;-0.12021254003047943;0.003080710768699646;-0.10076169669628143;0.14039021730422974;0.13050685822963715;0.13040480017662048;0.22900255024433136;0.10583575069904327;0.01977451518177986;-0.2717655301094055;0.33926403522491455;0.166841521859169;0.00959576852619648;0.03012746199965477;-0.04540078341960907;0.15695320069789886;0.10714845359325409;0.4560103416442871;0.1654873788356781;-0.2751023769378662;-0.21671628952026367;-0.08297120034694672;-0.3219236731529236;0.4030091166496277;0.04687422513961792;0.16425205767154694;0.07980851829051971;0.07749432325363159;0.1063704714179039;0.1569550484418869;-0.015233540907502174;-0.09892668575048447;0.36733347177505493;0.4378434121608734;0.020962851122021675;0.34959128499031067
daech;-0.0655585303902626;0.25275081396102905;-0.6521021723747253;0.13706675171852112;-0.2140727937221527;-0.4107390344142914;-0.2671927809715271;0.34312814474105835;-0.33990806341171265;0.4736801087856293;0.5420399904251099;-0.6649723052978516;0.6940404176712036;0.44736528396606445;-0.4193705916404724;0.3385636806488037;0.05305040627717972;0.06410054117441177;0.31189292669296265;-0.5050239562988281;0.025577619671821594;0.188432514667511;-0.0003876507398672402;-0.23414067924022675;-0.1638287901878357;-0.04332359507679939;0.004117441363632679;0.08211255073547363;0.39057645201683044;0.005307977087795734;-0.1759411096572876;-0.19380643963813782;0.05381343886256218;-0.20465095341205597;-0.4433920979499817;-0.04261920973658562;-0.08450420945882797;0.22503356635570526;0.39460617303848267;0.05461561679840088;0.0847475677728653;-0.12709863483905792;-0.22109560668468475;-0.45723095536231995;0.3698236346244812;-0.8455818891525269;-0.033739615231752396;0.2371043711900711;-0.10700972378253937;-0.24414868652820587;-0.3249307870864868;0.16438256204128265;-0.6366059184074402;-0.011853189207613468;-0.29190707206726074;-0.3274526000022888;0.17383602261543274;-0.2536277174949646;0.5141733288764954;0.07443656772375107;-0.9936885833740234;0.566025972366333;-0.25811609625816345;-0.015787215903401375;-0.341239869594574;0.15476620197296143;0.14767798781394958;0.3525688648223877;-0.09554847329854965;0.07917287945747375;0.11313541978597641;-0.20918074250221252;0.25864654779434204;-0.17981937527656555;-0.13290837407112122;0.43203553557395935;0.03325418382883072;-0.2252189666032791;0.1966697871685028;0.14989081025123596;0.09030221402645111;0.24311554431915283;0.1477048099040985;-0.4760526716709137;0.32478782534599304;-0.4136360287666321;-0.5060016512870789;0.036087796092033386;-0.4895918369293213;0.016201239079236984;-0.2767564654350281;-0.14872892200946808;0.8264728784561157;0.023501455783843994;-0.31439122557640076;-0.10954158008098602;0.3403272032737732;0.47884589433670044;-0.43384847044944763;0.20223844051361084
searching;0.16781671345233917;0.13222000002861023;0.21458026766777039;-0.15550237894058228;-0.12509238719940186;0.0700707882642746;0.049765437841415405;0.39361000061035156;-0.6027179956436157;0.03746073693037033;-0.009894155897200108;-0.14047037065029144;0.09547977149486542;0.2596723139286041;-0.37092751264572144;0.0026485968846827745;-0.16454850137233734;-0.19309447705745697;0.44162455201148987;-0.0007982492679730058;0.1455095410346985;-0.22017474472522736;0.12257327139377594;-0.09953649342060089;-0.006039664149284363;-0.06283028423786163;-0.09518499672412872;-0.27324366569519043;-0.0002744719386100769;0.388780802488327;-0.2961260676383972;0.037578750401735306;0.03727897256612778;-0.017177939414978027;0.10946527868509293;-0.22189083695411682;0.1947990357875824;-0.33022797107696533;-0.13124655187129974;0.07628555595874786;0.08241362869739532;-0.027720171958208084;0.33602240681648254;-0.011877643875777721;-0.3560338020324707;-0.40776753425598145;-0.4617025852203369;-0.4500817656517029;0.3000829219818115;0.13485272228717804;-0.03536664694547653;0.19559280574321747;0.2821311354637146;-0.34827372431755066;-0.04840440675616264;0.3169073462486267;-0.17962931096553802;-0.22460219264030457;0.11782251298427582;-0.1721632182598114;-0.5301831960678101;0.24545161426067352;0.2587939202785492;-0.30798980593681335;-0.06781814247369766;0.11396746337413788;0.03859642893075943;0.3736949563026428;-0.02083025500178337;0.175302654504776;0.026240980252623558;0.30192023515701294;0.12150339782238007;-0.5417440533638;0.42000898718833923;0.29718008637428284;-0.46988821029663086;0.2545262277126312;-0.2227175235748291;-0.07043325901031494;0.21738016605377197;0.015893587842583656;0.396668940782547;-0.3470815420150757;0.21243305504322052;0.1548301726579666;-0.3906862139701843;0.5124567151069641;-0.13344277441501617;0.31683090329170227;0.0944758802652359;-0.21096205711364746;-0.21348774433135986;-0.14793257415294647;-0.1207398772239685;-0.11660375446081161;0.3832428455352783;0.25221681594848633;-0.19890044629573822;0.348289430141449
obertone;0.2800235450267792;0.05113963410258293;-0.1592652052640915;-0.1470424383878708;-0.3165174424648285;0.4949362874031067;-0.18959613144397736;0.03321351483464241;-0.4065608084201813;0.19214119017124176;-0.124440036714077;-0.6842790246009827;0.12154867500066757;0.3928973972797394;-0.47007328271865845;0.5339108109474182;-0.49472275376319885;0.027681395411491394;0.6622331738471985;-0.22739079594612122;0.09335426986217499;0.3729117214679718;-0.009086730889976025;-0.3673158586025238;-0.32411372661590576;0.16117826104164124;-0.4586692750453949;-0.4949858784675598;0.2968396544456482;0.011922037228941917;-0.13746309280395508;-0.012874958105385303;0.14550860226154327;0.306556761264801;-0.3033595085144043;0.03403308242559433;-0.2512912154197693;0.22404782474040985;0.13714870810508728;-0.41291189193725586;-0.3119153678417206;-0.004665376152843237;-0.01789996214210987;-0.3570789396762848;-0.24176260828971863;-0.44764453172683716;0.0550350621342659;0.2702633738517761;0.2511921525001526;-0.14120061695575714;0.14245012402534485;0.1942720115184784;0.09236423671245575;-0.051195599138736725;-0.4094991087913513;-0.28971120715141296;-0.3278650641441345;-0.25498005747795105;0.3729778528213501;0.12759794294834137;-0.6379650831222534;0.559400200843811;0.2979782521724701;-0.24895425140857697;-0.46806955337524414;0.08834394067525864;0.3802087903022766;0.2173471748828888;0.23413634300231934;-0.13338051736354828;0.23604044318199158;0.13740384578704834;0.15500408411026;-0.3314027786254883;0.250591903924942;0.4457595944404602;0.08594486862421036;0.08875058591365814;-0.4109945297241211;0.15034328401088715;0.15041950345039368;0.4834199547767639;0.05547892302274704;-0.4712347090244293;0.041601937264204025;0.06501185894012451;-0.34311673045158386;0.19914087653160095;-0.7499820590019226;0.5108165144920349;0.064720019698143;0.1358400583267212;0.5170546770095825;0.2507842183113098;-0.2031056433916092;-0.07713225483894348;0.12007617950439453;0.5341216325759888;-0.04726680368185043;0.251796692609787
g72018;-0.053079381585121155;0.1392737627029419;-0.29687264561653137;-0.006371730472892523;-0.0010687117464840412;0.17303895950317383;0.0038968881126493216;0.15361998975276947;-0.44510459899902344;0.20610551536083221;0.12972421944141388;-0.35793808102607727;0.0029105665162205696;0.2096637785434723;-0.3071240484714508;0.16569122672080994;-0.17418169975280762;-0.14176861941814423;0.1586030125617981;-0.06982609629631042;-0.04136055335402489;-0.0710485577583313;0.11564631015062332;-0.26674792170524597;-0.18614594638347626;0.2750456929206848;-0.06946149468421936;-0.04122338816523552;0.05852239578962326;0.06663396209478378;-0.005257925018668175;0.014514729380607605;-0.030973847955465317;-0.1931929886341095;-0.3405415713787079;0.18009622395038605;-0.17755882441997528;-0.11376497894525528;0.26813411712646484;-0.17429380118846893;-0.0001598970266059041;-0.14166927337646484;-0.0674322247505188;-0.23350587487220764;-0.12187632918357849;-0.3706764876842499;0.03993699699640274;0.16316716372966766;-0.08623972535133362;-0.25239038467407227;0.01804426684975624;-0.0021579943131655455;-0.03362197428941727;0.07647063583135605;-0.40186142921447754;0.0017827270785346627;-0.11491096764802933;0.06273465603590012;0.06848158687353134;-0.03029581345617771;-0.4753987789154053;0.37596595287323;0.04837651178240776;0.1252562254667282;-0.0185631662607193;0.13387857377529144;0.37232035398483276;0.05651808902621269;0.04779476672410965;-0.027014456689357758;0.13224291801452637;0.13889344036579132;-0.046567514538764954;-0.1830139011144638;0.12598910927772522;0.2633187174797058;0.09407234191894531;0.047504112124443054;0.005615977570414543;-0.0018370456527918577;0.08299586176872253;0.20478756725788116;-0.009734291583299637;-0.192081481218338;-0.0056233531795442104;-0.25653132796287537;-0.2509538531303406;0.2000298947095871;-0.3761465549468994;0.13276492059230804;0.11546435952186584;-0.23690058290958405;0.15002936124801636;0.1541954129934311;-0.3055032789707184;-0.004166958387941122;0.1581428200006485;0.18338529765605927;-0.04792007431387901;0.06091854348778725
garneau;0.07772226631641388;0.0666731595993042;0.10319598019123077;-0.1446884572505951;-0.050518982112407684;0.0929594486951828;0.03065461292862892;0.14731064438819885;-0.4371892511844635;0.25403696298599243;0.06962917000055313;-0.031962357461452484;-0.10922672599554062;0.27432188391685486;-0.1933639943599701;0.15811549127101898;-0.3260885179042816;-0.1490645855665207;0.28014588356018066;-0.1307302862405777;0.09064636379480362;-0.2150641679763794;0.059356190264225006;-0.07439406216144562;-0.21860051155090332;0.031386975198984146;-0.05465943366289139;-0.0695560947060585;-0.020572179928421974;0.2563125193119049;-0.07096792757511139;-0.05216804891824722;0.022048205137252808;0.10043616592884064;-0.1980542540550232;-0.2580288052558899;0.14751675724983215;-0.12224408239126205;0.09170123189687729;-0.049409620463848114;-0.03189190477132797;-0.09250596910715103;0.24753789603710175;0.0031453650444746017;-0.10092328488826752;-0.15781252086162567;-0.23617097735404968;-0.01870650053024292;0.34635812044143677;-0.010875636711716652;0.10029194504022598;0.11003470420837402;0.22161570191383362;-0.03810238093137741;-0.055050503462553024;0.045853741466999054;-0.04740748926997185;-0.20643997192382812;0.12129906564950943;-0.1306878924369812;-0.4110473692417145;0.02248668298125267;0.23187975585460663;-0.155795618891716;0.045204080641269684;-0.02812669798731804;0.024225985631346703;0.24511294066905975;0.11236387491226196;0.1205911636352539;0.05614813044667244;0.23529954254627228;-0.05500543862581253;-0.49591177701950073;0.15649093687534332;0.1324835568666458;-0.08857816457748413;0.12434899806976318;-0.16633883118629456;0.00034687743755057454;0.1194603219628334;0.1572856903076172;0.02932663820683956;-0.21683700382709503;-0.10606509447097778;-0.06162107735872269;-0.2387351095676422;0.20165088772773743;-0.006019070744514465;0.28003209829330444;0.18188410997390747;-0.09767963737249374;0.14046570658683777;0.260967493057251;-0.3810272812843323;-0.061947621405124664;0.2905416786670685;0.18193045258522034;-0.19752976298332214;0.16531404852867126
trumprussia;-0.018711011856794357;0.1534554809331894;-0.19042637944221497;-0.07959794998168945;0.10730044543743134;0.030884714797139168;-0.04120172560214996;0.15908993780612946;-0.23175260424613953;0.20319236814975739;0.12249898910522461;-0.366216778755188;-0.002480778843164444;0.12464983761310577;-0.27136990427970886;0.1795659363269806;-0.2744207978248596;-0.07830484211444855;0.005613038316369057;-0.018399221822619438;-0.07589071989059448;-0.048764392733573914;0.29216474294662476;-0.22855506837368011;-0.1523311883211136;0.12323721498250961;-0.07616402953863144;0.04304049164056778;0.03230500966310501;0.15498247742652893;-0.04269092530012131;-0.028378386050462723;-0.06822536885738373;-0.1304740607738495;-0.28637850284576416;0.08284169435501099;-0.16039597988128662;-0.03882766515016556;0.1549156755208969;-0.01748962327837944;0.000598294660449028;-0.23324352502822876;0.08728940784931183;-0.12377689778804779;0.043222952634096146;-0.4932609796524048;-0.065982386469841;0.14405441284179688;0.0684189721941948;-0.19068336486816406;-0.024661321192979813;0.018749943003058434;-0.10541453957557678;0.07183030247688293;-0.14238205552101135;-0.013808700256049633;-0.022997744381427765;-0.0635404884815216;0.0794389620423317;-0.1061064824461937;-0.4257705807685852;0.20948997139930725;0.1606249213218689;-0.0993727371096611;-0.18261197209358215;0.07206594944000244;0.18044531345367432;0.14213375747203827;-0.09509865939617157;-0.12205837666988373;0.10309254378080368;0.21036306023597717;-0.12357276678085327;-0.28741246461868286;0.0479818657040596;0.22665512561798096;-0.0004305308684706688;0.04249896854162216;-0.043584492057561874;0.03618777170777321;-0.006123355124145746;0.13686731457710266;0.06273958832025528;-0.3077893555164337;0.01894364133477211;-0.24129387736320496;-0.23461169004440308;0.18179890513420105;-0.3564065396785736;0.1030273512005806;-0.1303350329399109;-0.0843077003955841;0.24769645929336548;0.0857972651720047;-0.2304217666387558;-0.11231477558612823;0.14113079011440277;0.2312479019165039;-0.12979432940483093;0.08019810169935226
russophobe;0.05443344637751579;-0.0487046018242836;-0.1242663711309433;-0.10479344427585602;0.08682914078235626;0.06535546481609344;0.004138089716434479;0.28984370827674866;-0.19685915112495422;0.2923324704170227;0.19066810607910156;-0.3619995713233948;0.27165842056274414;0.3310164511203766;-0.2918778657913208;0.24426288902759552;-0.11883264780044556;0.2789711654186249;0.294879287481308;-0.06934298574924469;0.09184714406728745;-0.07996736466884613;0.07734167575836182;-0.11553200334310532;0.04017996788024902;0.022001001983880997;-0.011079739779233932;0.04118940979242325;0.021523308008909225;0.035921815782785416;0.0415131077170372;-0.07094471156597137;0.04459770396351814;-0.14868059754371643;-0.48760128021240234;0.14155764877796173;-0.18052034080028534;0.019634243100881577;0.07336558401584625;-0.14664585888385773;-0.03241289407014847;0.0009588748216629028;-0.21044015884399414;-0.14955681562423706;-0.11520974338054657;-0.45513755083084106;-0.07564376294612885;0.11448521912097931;0.018877018243074417;-0.304766446352005;-0.18607692420482635;0.0834142193198204;-0.02037278190255165;0.07441872358322144;-0.16625049710273743;-0.04223489388823509;-0.1849672496318817;0.0974787250161171;0.13031338155269623;-0.22921256721019745;-0.4476114809513092;0.37216705083847046;0.28913038969039917;0.030074212700128555;-0.16513986885547638;0.2428511679172516;0.06723342835903168;0.1370733231306076;0.011735344305634499;0.08294838666915894;0.19464896619319916;0.08307242393493652;-0.09258484840393066;-0.08335340768098831;0.05304369330406189;0.18693871796131134;0.07778958976268768;-0.022094309329986572;-0.19148513674736023;-0.060658685863018036;0.01017649658024311;0.37178945541381836;-0.0035050020087510347;-0.277547687292099;-0.12015708535909653;-0.09026875346899033;-0.3667805790901184;-0.036697447299957275;-0.43402060866355896;0.2320907562971115;-0.04193640872836113;-0.11043693870306015;0.4716946482658386;-0.04283054172992706;-0.2271665334701538;0.056531451642513275;0.24299976229667664;0.3716834783554077;-0.07133733481168747;-0.014363015070557594
