;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
riverains;0.3738693594932556;0.05214887857437134;-0.4264290928840637;-0.18325023353099823;-1.0313819646835327;-0.1199372261762619;0.3240540623664856;0.08187763392925262;0.22228868305683136;-0.11466409265995026;0.28444528579711914;-0.2679409384727478;-0.0160355307161808;0.009077534079551697;-0.06050996109843254;-0.00023882239474914968;0.010998889803886414;-0.553878664970398;-0.2660238742828369;-0.7023946046829224;0.3020133376121521;0.2542736530303955;0.7182131409645081;-0.27729764580726624;-0.658382773399353;0.45227789878845215;-0.15208658576011658;0.09919621795415878;0.3089599013328552;0.36646026372909546;0.1393347978591919;-0.18022306263446808;-0.0804031640291214;-0.6792534589767456;-0.3039766848087311;-0.09231902658939362;0.012655210681259632;0.001227903412654996;0.10816006362438202;-0.5702749490737915;-0.2842601537704468;0.5810829401016235;0.23995976150035858;-0.4636518955230713;0.5211302638053894;-0.38297775387763977;0.3784448504447937;0.45156222581863403;0.021671060472726822;0.09191050380468369;-0.11996376514434814;0.5122030973434448;0.13445861637592316;-0.11952044814825058;-0.06525959819555283;-0.05723942071199417;0.7376656532287598;-0.592408299446106;0.39267396926879883;0.004274144768714905;-0.41455739736557007;0.2950069010257721;-0.1029665619134903;-0.20410294830799103;-0.6424682140350342;-0.054849088191986084;0.37251606583595276;0.6492567658424377;0.32987144589424133;-0.1499873697757721;-0.12622949481010437;0.111911341547966;0.08684750646352768;-0.45027846097946167;0.15435798466205597;0.12422313541173935;0.13270744681358337;-0.03671026602387428;-0.31209462881088257;0.13751235604286194;0.23010440170764923;0.9068244695663452;0.1579696089029312;-0.5007109045982361;-0.21089868247509003;0.3078683316707611;-0.14565452933311462;0.11556186527013779;-0.6274027824401855;-0.037254076451063156;0.18986794352531433;-0.5721195936203003;0.9306427240371704;0.19463896751403809;-0.11200320720672607;-0.49986323714256287;-0.29626768827438354;0.42141667008399963;-0.3059769570827484;-0.8104081153869629
a28-a13;0.12921473383903503;0.34875693917274475;-0.3928409516811371;-0.2425801008939743;-0.6498007774353027;-0.2189936339855194;0.6131464242935181;-0.28431159257888794;0.037702761590480804;0.373028039932251;-0.0997689813375473;-0.5439949035644531;0.45916470885276794;0.4574463367462158;-0.10280360281467438;0.11105714738368988;0.27222490310668945;-0.5466454029083252;0.07980924844741821;-0.9055508375167847;-0.4021903872489929;0.27570194005966187;0.49033617973327637;-0.2715182900428772;0.004378445912152529;0.40745800733566284;-0.1355544626712799;-0.4848073422908783;0.5841940641403198;0.617388129234314;-0.064946748316288;-0.09857511520385742;0.5637789964675903;-0.28816458582878113;-0.6900507211685181;0.10888537019491196;-0.19541585445404053;0.5730429291725159;0.07790365815162659;-0.3123655617237091;0.049644194543361664;0.40179744362831116;0.2991567552089691;-0.6408132910728455;0.3668951094150543;-0.2513519525527954;-0.3052048087120056;0.4609621465206146;0.5048201680183411;-0.17900052666664124;0.03666550666093826;0.07955057919025421;-0.24061298370361328;0.32915976643562317;0.14962837100028992;-0.37753453850746155;0.44127359986305237;-0.9657802581787109;0.4840170741081238;-0.3748571276664734;-1.1924238204956055;0.3372894823551178;0.023701824247837067;-0.045111559331417084;0.24367770552635193;-0.08078604191541672;0.5260297060012817;0.789350152015686;0.031142916530370712;-0.08341784030199051;0.24915528297424316;0.6205865144729614;0.11602844297885895;-0.662321925163269;1.2421209812164307;0.1790209710597992;-0.31556981801986694;-0.042413271963596344;0.010970206931233406;0.24198868870735168;0.6124049425125122;0.9024820327758789;-0.5261173844337463;-0.34647440910339355;0.30258485674858093;0.0856032520532608;-0.5675567388534546;0.4473692774772644;-0.5874893069267273;-0.21103255450725555;-0.2038898766040802;-1.140893816947937;1.038940191268921;-0.07536636292934418;-0.010009298101067543;0.22286517918109894;0.2282096892595291;-0.0659785270690918;-0.2762547433376312;-0.6868505477905273
etatpolicier;0.02163967303931713;0.06442910432815552;-0.31943342089653015;0.11311233043670654;-0.1811383068561554;-0.02033255808055401;0.25757238268852234;0.06432482600212097;-0.33184686303138733;0.24926894903182983;0.12413571774959564;-0.39995497465133667;0.13746115565299988;0.19934287667274475;-0.3224867582321167;0.4015271067619324;-0.026259051635861397;-0.1305142343044281;0.0014543553115800023;-0.371183305978775;0.2057259976863861;0.0980396717786789;0.2219870388507843;-0.29202812910079956;-0.19565558433532715;0.1964484453201294;0.010877538472414017;-0.1780313104391098;0.20982858538627625;0.15546104311943054;-0.08599433302879333;0.044146087020635605;0.04972323775291443;-0.18693925440311432;-0.3991398215293884;0.16725045442581177;-0.13580486178398132;0.12020242214202881;0.29477834701538086;-0.22429153323173523;-0.1481899470090866;-0.08911609649658203;-0.08017975091934204;-0.4010067582130432;-0.03719089552760124;-0.588943362236023;-0.04081767797470093;0.08494218438863754;0.12238501012325287;-0.05102342367172241;-0.0007109194993972778;0.029288500547409058;-0.0415990985929966;0.07941566407680511;-0.24913115799427032;-0.05624635890126228;0.03866906464099884;-0.20165574550628662;0.16112162172794342;-0.021684378385543823;-0.3683013319969177;0.4457259178161621;0.20318618416786194;-0.0461362861096859;-0.015052365139126778;0.27172544598579407;0.20806698501110077;0.1972537785768509;-0.16169185936450958;-0.0026667355559766293;-0.1563037782907486;0.15629257261753082;-0.07673484832048416;-0.0596100389957428;0.049431756138801575;0.23742496967315674;0.04449315369129181;0.00216248189099133;-0.08670876175165176;0.0187317356467247;0.18426713347434998;0.2612038552761078;-0.025423327460885048;-0.27098190784454346;-0.035436708480119705;0.11387548595666885;-0.3152693510055542;0.1711461991071701;-0.3710179328918457;0.09841638803482056;0.019288241863250732;-0.3139563798904419;0.17171935737133026;0.19444897770881653;-0.17740122973918915;-0.19549672305583954;0.002252439735457301;0.18443521857261658;-0.0072508035227656364;-0.2735024094581604
anti-étrangers;-0.0037078349851071835;-0.02825242280960083;-0.14703822135925293;-0.02420630119740963;-0.10198001563549042;0.1505342423915863;0.2322479784488678;0.08621321618556976;-0.19480350613594055;0.3330022692680359;0.14960157871246338;-0.2468678057193756;-0.015965361148118973;0.10727794468402863;-0.17431963980197906;0.1861954629421234;0.040412548929452896;-0.1565999984741211;-0.08408495783805847;-0.1482304483652115;-0.00980578362941742;-0.06080282852053642;0.21118244528770447;-0.1749911606311798;-0.08255798369646072;0.346937894821167;-0.025745443999767303;-0.11883863061666489;-0.0013732025399804115;0.18057286739349365;0.060905590653419495;-0.13749819993972778;-0.022038795053958893;-0.17544294893741608;-0.2584068179130554;0.03250134736299515;0.10236155986785889;0.00803876481950283;0.2685292363166809;-0.10796447098255157;-0.0005912118358537555;0.03282196819782257;0.145935520529747;-0.2520744502544403;0.06458777189254761;-0.39625468850135803;0.06080438941717148;0.004045830573886633;0.15634217858314514;-0.0450710728764534;-0.00973419938236475;0.0952330082654953;-0.06857617199420929;0.05824529379606247;-0.04026547819375992;-0.10942630469799042;-0.005295481998473406;-0.2217983901500702;0.10060198605060577;-0.051618047058582306;-0.35639041662216187;0.12380020320415497;0.1279565393924713;0.055022284388542175;-0.15946847200393677;0.11857596039772034;0.15016977488994598;0.190799742937088;0.029177192598581314;0.0219804085791111;-0.03923199698328972;0.04709973186254501;-0.051106467843055725;-0.25225529074668884;0.1361408829689026;0.12314586341381073;0.10726572573184967;0.052087344229221344;0.016067208722233772;-0.14663910865783691;-0.05587515980005264;0.22082167863845825;-0.06222400441765785;-0.312129944562912;-0.10600675642490387;-0.09119749069213867;-0.12481595575809479;0.024135367944836617;-0.22206684947013855;0.03138483315706253;0.02816249430179596;-0.14195752143859863;0.24245230853557587;0.09307189285755157;-0.1659964919090271;-0.06740547716617584;0.06535613536834717;0.15683704614639282;-0.12220672518014908;-0.3214784264564514
lasrebes;0.012760442681610584;0.13693732023239136;-0.21319322288036346;-0.12686388194561005;-0.25104397535324097;-0.03147948160767555;0.19385355710983276;-0.08825287967920303;-0.30667388439178467;0.4785962998867035;0.03414314240217209;-0.3564962148666382;0.044727910310029984;0.2339140623807907;-0.1501527577638626;0.3114423453807831;0.03886394575238228;-0.2419995665550232;0.024284297600388527;-0.353274941444397;0.1566316783428192;0.012357684783637524;0.40512892603874207;-0.2252112179994583;-0.16711454093456268;0.28601956367492676;0.016211941838264465;0.010962356813251972;0.031543951481580734;0.08134462684392929;-0.018089238554239273;-0.037735119462013245;0.08186072111129761;-0.42878779768943787;-0.21421359479427338;0.20800228416919708;-0.016102289780974388;0.09612217545509338;0.34238752722740173;-0.22064308822155;-0.10624118894338608;-0.04546069726347923;0.09403441101312637;-0.28642043471336365;0.13061167299747467;-0.47154879570007324;-0.05045093968510628;0.08681898564100266;0.07003334909677505;-0.0250247735530138;0.10958418250083923;0.26048654317855835;0.050588447600603104;0.1093415841460228;-0.03361989185214043;0.047696251422166824;0.1467285454273224;-0.45702919363975525;0.13321401178836823;0.027863837778568268;-0.36508098244667053;0.1798214167356491;0.04500585421919823;-0.17717497050762177;-0.1269826591014862;0.1348496675491333;0.06126038357615471;0.252926230430603;-0.0757230743765831;0.12608051300048828;-0.06018826365470886;0.1855122596025467;-0.00700710155069828;-0.33145156502723694;0.16764719784259796;0.013221625238656998;0.046035680919885635;0.22318752110004425;-0.08362594991922379;0.09552153199911118;-0.08505383878946304;0.42982661724090576;-0.1825823038816452;-0.5030850768089294;-0.05968155339360237;-0.08579561859369278;-0.22322015464305878;0.3107186555862427;-0.2938131093978882;0.025259023532271385;0.18231672048568726;-0.15200385451316833;0.38413581252098083;0.20456302165985107;-0.18583828210830688;-0.18313948810100555;0.026641150936484337;0.06453678756952286;-0.2573472261428833;-0.3434397280216217
chretiensdirak;0.283374160528183;-0.3343934416770935;-0.5608288049697876;0.12260644137859344;-0.4217713475227356;-0.044101353734731674;0.19878120720386505;0.1438935101032257;-0.7792720794677734;0.6957542896270752;0.29814282059669495;-0.7951372861862183;0.4256132245063782;0.3058207631111145;-0.34626612067222595;0.0795392245054245;-0.048012107610702515;-0.3341013193130493;0.07183019071817398;-0.6625423431396484;0.30309781432151794;0.36048537492752075;0.6196732521057129;-0.5177361965179443;-0.33762550354003906;0.2868700325489044;0.047908276319503784;-0.15743790566921234;0.2949884533882141;-0.18912212550640106;0.13777518272399902;0.048370111733675;0.003951209597289562;0.13047996163368225;-0.27892550826072693;0.1846839338541031;0.05723831057548523;0.3036741018295288;0.4139033257961273;-0.3848057985305786;-0.1321987807750702;0.2653471827507019;0.07861612737178802;-0.39220842719078064;0.06259064376354218;-0.4264441430568695;0.14114990830421448;0.17159488797187805;0.007688076235353947;0.20260700583457947;-0.20475462079048157;0.15340745449066162;-0.2518084943294525;0.23110589385032654;-0.37647372484207153;0.13766387104988098;0.5265089273452759;-0.43930062651634216;0.48441943526268005;0.27956631779670715;-0.5995163917541504;0.17485380172729492;-0.13998650014400482;0.01554801594465971;-0.18692448735237122;0.2574562430381775;0.44492626190185547;0.4303116798400879;-0.1547916978597641;0.06908644735813141;-0.1607193648815155;0.15332195162773132;0.18862558901309967;-0.4899173378944397;0.19476261734962463;0.4257279932498932;0.05792953819036484;0.024875547736883163;-0.04950852319598198;0.16934995353221893;0.38954681158065796;0.5128544569015503;-0.2949026823043823;-0.5675239562988281;-0.1363421529531479;0.15588214993476868;-0.5033071041107178;-0.07423418015241623;-0.6468609571456909;0.24146580696105957;0.23572012782096863;-0.18304476141929626;0.5483710169792175;-0.053361427038908005;-0.6713942885398865;-0.37049517035484314;0.16282382607460022;0.2446870505809784;-0.18774737417697906;-0.6320391893386841
ba102;0.15984968841075897;0.21774335205554962;-0.19159623980522156;-0.2244146764278412;-0.23513074219226837;0.1534373015165329;0.18836981058120728;0.046470653265714645;-0.0020178884733468294;0.32546424865722656;0.05180179327726364;-0.2665461003780365;0.03414592891931534;0.07122686505317688;-0.050458043813705444;0.08143609762191772;0.003571566194295883;-0.041722483932971954;-0.17435309290885925;-0.15497714281082153;0.12813422083854675;0.026667002588510513;0.312070369720459;-0.28622812032699585;-0.08370566368103027;0.15219168365001678;-0.13720275461673737;-0.002413900103420019;0.11456499248743057;0.21901126205921173;-0.04756084457039833;0.021614179015159607;0.11023595184087753;-0.12267102301120758;-0.14058218896389008;0.33105579018592834;0.11406324058771133;0.05250116437673569;0.1454540640115738;-0.05131153389811516;-0.017439890652894974;-0.02954089641571045;0.23103594779968262;-0.22713467478752136;0.16720911860466003;-0.4452952742576599;0.07915972173213959;0.05799905210733414;0.07371610403060913;0.04376181215047836;0.1382284164428711;0.23612277209758759;0.031995225697755814;0.07222703844308853;-0.2727004885673523;-0.009308024309575558;0.05919109657406807;-0.331339567899704;0.2014313042163849;-0.021057365462183952;-0.3457222580909729;0.02732703648507595;0.11629148572683334;-0.08605767786502838;-0.07776492834091187;0.009922141209244728;0.25001221895217896;0.1903952956199646;0.06175019592046738;-0.014884725213050842;0.030279751867055893;0.03180863708257675;-0.3115500807762146;-0.16511592268943787;0.1937459409236908;0.3397989869117737;0.01634310744702816;0.10594706237316132;-0.023629525676369667;-0.1940949261188507;-0.11298426240682602;0.17107750475406647;-0.08348800241947174;-0.26859721541404724;0.03287907689809799;0.029059147462248802;-0.016492122784256935;0.15462014079093933;-0.3200666308403015;0.24429412186145782;0.18409256637096405;-0.09587636590003967;0.3257197439670563;0.13639378547668457;-0.14142151176929474;-0.07734797149896622;0.18505823612213135;0.16806432604789734;-0.08480226993560791;-0.20876190066337585
nnoman;-0.005615720059722662;0.22076231241226196;-0.3084076941013336;0.44587087631225586;-0.35333335399627686;-0.0529736690223217;0.0014816789189353585;0.21511435508728027;-0.8766417503356934;0.4504167139530182;0.13691940903663635;-0.1856890320777893;0.24050398170948029;0.49941286444664;-0.16521744430065155;0.24361002445220947;-0.09839460998773575;-0.37779366970062256;-0.11215338855981827;-0.4642806053161621;-0.0887649655342102;0.2943996489048004;0.46428999304771423;-0.4789144694805145;-0.04915256425738335;0.3357818126678467;-0.12199024111032486;-0.21683412790298462;0.20696145296096802;0.30944785475730896;-0.056138861924409866;0.11400546878576279;0.07732944935560226;-0.2791161835193634;-0.2688312828540802;0.18643058836460114;0.033852383494377136;0.4371546804904938;0.4219954311847687;-0.2726517617702484;0.09020087867975235;0.2760595381259918;0.00480663264170289;-0.40066102147102356;0.04533758759498596;-0.587287187576294;-0.08220458775758743;0.0407399982213974;0.4906238615512848;0.13222943246364594;-0.04030616581439972;0.1599791795015335;0.30465081334114075;0.15688550472259521;-0.32814309000968933;0.2179659605026245;0.052513688802719116;-0.09767808765172958;0.39025554060935974;0.007210088428109884;-0.6136775016784668;0.35003331303596497;-0.13550762832164764;-0.4266093671321869;-0.04934384301304817;0.3394280970096588;0.24158258736133575;0.5616328716278076;0.006055264268070459;0.0047438666224479675;-0.34026575088500977;-0.08145863562822342;-0.15173383057117462;-0.7002301812171936;0.22629813849925995;0.1545625627040863;-0.253935307264328;0.3334541320800781;-0.11596836894750595;0.16481412947177887;0.10751193761825562;0.11173895746469498;-0.1878635436296463;-0.815337598323822;-0.04313880577683449;0.2693033516407013;-0.6330494284629822;0.5702468156814575;-0.4742914140224457;0.05841855704784393;-0.06405766308307648;0.014299445785582066;0.3529636859893799;0.1876397281885147;-0.14648239314556122;-0.040794823318719864;0.2210254818201065;0.02172650583088398;-0.5566048622131348;-0.5767385363578796
40mars;0.08899987488985062;0.04434384033083916;-0.12333041429519653;-0.09044375270605087;-0.4813326895236969;0.06783522665500641;0.364666223526001;0.07612311840057373;-0.40553319454193115;0.26308438181877136;0.036636997014284134;-0.3344091475009918;0.03918607160449028;0.09287890046834946;-0.29158854484558105;0.1491745114326477;-0.20125150680541992;-0.03148110955953598;-0.03505842387676239;-0.4180420935153961;0.010934960097074509;-0.010699785314500332;0.3703051507472992;-0.5134527087211609;-0.3316591680049896;0.5148787498474121;-0.12531280517578125;-0.06943764537572861;0.07871320843696594;0.16761107742786407;0.021870099008083344;-0.05814165994524956;-0.09606184810400009;-0.310475617647171;-0.3102172911167145;0.06598421931266785;0.18914109468460083;0.2505098581314087;0.38250526785850525;-0.27657225728034973;-0.18209737539291382;0.08598491549491882;0.12260004132986069;-0.1869351714849472;0.15291231870651245;-0.3996920883655548;-0.14616653323173523;0.05395560339093208;0.15307898819446564;0.11593082547187805;0.15783493220806122;-0.11602126806974411;-0.05022554472088814;0.12297326326370239;-0.21343286335468292;-0.06828482449054718;0.04226410761475563;-0.41948530077934265;0.2844682037830353;0.09478086233139038;-0.6681552529335022;0.119120292365551;0.1306682974100113;0.00783546268939972;-0.03101910836994648;0.3767242431640625;0.26371198892593384;0.46504512429237366;-0.036902446299791336;-0.22510403394699097;-0.033757250756025314;0.04060426354408264;-0.299737811088562;-0.42958030104637146;0.45405372977256775;0.2544828951358795;0.010567416436970234;0.28190407156944275;-0.20376574993133545;0.1329706460237503;-0.02259267307817936;0.24176669120788574;-0.23526431620121002;-0.3934602737426758;-0.2683424651622772;-0.040408287197351456;-0.36943623423576355;0.3265954852104187;-0.18870718777179718;0.2699238955974579;0.13833726942539215;-0.21652722358703613;0.35370537638664246;0.1429455578327179;-0.20593158900737762;-0.034914810210466385;0.040889523923397064;0.1031048372387886;-0.2363954782485962;-0.5465476512908936
césar2;-0.03163298964500427;0.2918959856033325;-0.2388613522052765;0.01928134821355343;-0.227616086602211;0.08884613960981369;0.10473111271858215;-0.04154752567410469;-0.39071062207221985;0.5857262015342712;0.09781821817159653;-0.3902852535247803;-0.05905207619071007;0.007102296222001314;-0.09345239400863647;0.5004215240478516;-0.21019737422466278;-0.22334520518779755;0.18493211269378662;-0.2494146227836609;0.12629005312919617;-0.03128042444586754;0.23155905306339264;-0.33537745475769043;-0.08199744671583176;0.5126066207885742;-0.012162899598479271;0.04891537129878998;0.026407422497868538;0.2218485325574875;-0.025933705270290375;-0.24581171572208405;0.08544251322746277;-0.33728253841400146;-0.4181661605834961;0.29998213052749634;-0.08073689043521881;-0.00484590046107769;0.47603267431259155;-0.3909950256347656;-0.26127657294273376;0.12711815536022186;-0.03343062475323677;-0.5912514925003052;0.17482967674732208;-0.5807782411575317;-0.03030305914580822;0.1979137510061264;0.13791827857494354;-0.04492820426821709;0.11113931983709335;0.12263018637895584;0.06896743178367615;0.1585974246263504;-0.2819672226905823;0.12872907519340515;0.07340072095394135;-0.14684970676898956;0.13403847813606262;-0.07179772853851318;-0.5165436267852783;0.40557217597961426;0.23334264755249023;-0.08997905999422073;0.009233093820512295;0.13521941006183624;0.1739560216665268;0.2471330612897873;-0.20927143096923828;-0.17968334257602692;0.12240980565547943;0.04529033228754997;-0.20346933603286743;-0.17617373168468475;0.36811068654060364;0.3877045512199402;0.05768115073442459;0.19756099581718445;-0.25559890270233154;0.06597454845905304;0.07812901586294174;0.23225463926792145;-0.13309338688850403;-0.3135985732078552;-0.12161735445261002;0.01251377072185278;-0.4286390244960785;0.35965773463249207;-0.5539196729660034;0.09605006128549576;0.2042725831270218;-0.377074658870697;0.417410671710968;0.34009140729904175;-0.3893803060054779;-0.13267529010772705;-0.03691566362977028;0.1463024765253067;-0.31192103028297424;-0.23705489933490753
