;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
artisanat;0.18784667551517487;-0.023218631744384766;0.20589664578437805;-0.40627726912498474;-0.39306172728538513;-0.18834218382835388;0.277352511882782;-0.08096718788146973;-0.3436948359012604;0.3345499336719513;-0.2880323827266693;0.10815601050853729;0.23325149714946747;-0.3207918703556061;-0.026429587975144386;0.17191185057163239;0.2971855700016022;-0.05570942163467407;0.14479801058769226;-0.569926381111145;-0.11096463352441788;-0.2010623961687088;0.3957434594631195;0.13408887386322021;-0.2717997431755066;0.22133859992027283;-0.3367908000946045;0.059136904776096344;-0.5011365413665771;-0.23086252808570862;-0.20459780097007751;0.619209349155426;0.1666899025440216;-0.19576695561408997;0.18123234808444977;0.04833127185702324;0.14152097702026367;0.4386574625968933;-0.16317299008369446;-0.19811652600765228;0.07035308331251144;-0.24343731999397278;0.056696198880672455;-0.8779749870300293;0.28966400027275085;-0.41650962829589844;0.46374160051345825;-0.2600730359554291;-0.06641806662082672;-0.4658936858177185;0.3368130922317505;0.10769067704677582;0.11512263864278793;-0.4989491403102875;-0.2911357879638672;-0.18666332960128784;-0.11311987787485123;-0.8659476041793823;-0.16746678948402405;0.3898104131221771;-0.6210248470306396;0.04911830648779869;-0.22517316043376923;-0.16336731612682343;-0.3839242160320282;0.34721827507019043;0.36475664377212524;0.8503287434577942;-0.015857422724366188;-0.2258032262325287;0.021712150424718857;0.07521604746580124;-0.8996055722236633;-0.5393884181976318;0.8699930310249329;-0.03991863504052162;-0.1501263678073883;0.5766656994819641;-0.24416880309581757;-0.009427345357835293;0.5762520432472229;0.2837156355381012;0.0734332799911499;-0.8035545349121094;-0.2549586892127991;-0.15569788217544556;-0.05195343494415283;0.5206522345542908;-0.3401279151439667;0.31906917691230774;0.34443172812461853;-0.3735632002353668;0.5228786468505859;0.3150385320186615;-0.4166392683982849;-0.8992708921432495;0.3753702640533447;0.2585316598415375;-0.21425890922546387;-0.08723199367523193
pisciculture;0.11523763835430145;0.5566866397857666;-0.25700536370277405;-0.3014584481716156;-0.16356636583805084;-0.041953302919864655;0.06507949531078339;0.04164016991853714;-0.3552476465702057;0.2225504219532013;0.007467123679816723;-0.21342067420482635;0.15424881875514984;-0.1776752769947052;-0.007436339743435383;0.19257153570652008;0.06724165380001068;-0.21784467995166779;0.0432262197136879;-0.08913207799196243;-0.09458814561367035;-0.1575501561164856;0.4640212953090668;-0.21655289828777313;-0.07663226127624512;0.09886310249567032;-0.10129356384277344;-0.06262867152690887;0.08438955247402191;0.20880475640296936;-0.07380665093660355;0.29573145508766174;-0.04261176288127899;-0.3297601342201233;0.01448222529143095;0.30057793855667114;-0.08780530840158463;0.09941528737545013;-0.06627140939235687;-0.014130553230643272;-0.040715835988521576;-0.01872345432639122;0.08877290785312653;-0.46027690172195435;-0.0026414901949465275;-0.4510519504547119;0.3322232663631439;0.08131243288516998;-0.14844104647636414;-0.23449261486530304;0.2144775688648224;0.09030374139547348;-0.024966131895780563;-0.12381641566753387;-0.20931191742420197;0.1321081668138504;-0.014016879722476006;-0.28396207094192505;0.0987505316734314;0.1006077378988266;-0.44671830534935;0.022920120507478714;-0.12258332967758179;-0.1539459377527237;-0.21274980902671814;0.22168096899986267;-0.008259964175522327;0.4032132625579834;0.21646395325660706;-0.09963943064212799;0.009279579855501652;0.07195760309696198;-0.3827304542064667;-0.3576236367225647;0.3504766821861267;-0.03427634388208389;-0.005557569675147533;0.2216075360774994;-0.10142115503549576;-0.16212332248687744;0.18588468432426453;0.23209655284881592;-0.1783282458782196;-0.33647793531417847;0.07860232144594193;0.02727765403687954;-0.13176771998405457;0.34506553411483765;-0.28667107224464417;0.11132149398326874;0.26261740922927856;-0.3391062021255493;0.5616001486778259;0.06405775994062424;-0.34660235047340393;-0.25949764251708984;0.27514219284057617;0.1753118485212326;-0.27824631333351135;-0.26795467734336853
agroécologique;0.058393292129039764;0.269156813621521;-0.025570577010512352;-0.32273682951927185;-0.32321789860725403;-0.2091844081878662;0.1311630755662918;-0.036374229937791824;-0.37018004059791565;0.17468278110027313;-0.14646193385124207;-0.3963679075241089;0.18081378936767578;-0.05868978425860405;-0.47096163034439087;0.13674363493919373;0.07176575809717178;-0.14968156814575195;0.12445394694805145;-0.365154504776001;0.012078496627509594;-0.2949323058128357;0.5232229232788086;-0.37639033794403076;-0.08611450344324112;0.17390580475330353;-0.1856948435306549;-0.020539455115795135;0.06013709306716919;0.16383959352970123;-0.21350829303264618;0.2407495677471161;0.05269492417573929;-0.3271917402744293;0.012569228187203407;0.1690153330564499;-0.09936189651489258;0.01693100854754448;-0.11291097104549408;-0.07131669670343399;-0.11831669509410858;-0.13975849747657776;0.10101586580276489;-0.5084697008132935;-0.16339954733848572;-0.5206397771835327;0.09591930359601974;0.018818840384483337;-0.18694281578063965;-0.144907146692276;0.21964795887470245;0.13053768873214722;-0.09602899849414825;-0.1810978651046753;-0.10962295532226562;-0.08007023483514786;0.13203079998493195;-0.3258795738220215;0.17965340614318848;0.06597022712230682;-0.5199012756347656;0.026403088122606277;0.15073195099830627;-0.22627368569374084;-0.14155659079551697;0.21518495678901672;0.17590492963790894;0.44823089241981506;0.024989087134599686;-0.16888462007045746;0.1322455108165741;0.2849809229373932;-0.2838965058326721;-0.2631506621837616;0.5966430902481079;-0.09944566339254379;0.019280070438981056;0.07328331470489502;-0.06247096508741379;-0.11912278831005096;0.2638302445411682;0.4076215624809265;0.014035898260772228;-0.3250756859779358;-0.21088168025016785;-0.05421038344502449;-0.22857864201068878;0.36788105964660645;0.008461376652121544;0.09604871273040771;0.27676936984062195;-0.43106985092163086;0.4744020104408264;-0.04018647223711014;-0.12004147469997406;-0.21608033776283264;0.2983405292034149;0.22163239121437073;-0.06636606156826019;0.018265124410390854
brli;0.05692271515727043;0.13787700235843658;-0.06722711026668549;-0.21883974969387054;-0.1490519791841507;-0.23330473899841309;0.09407355636358261;-0.04788513481616974;-0.36422234773635864;0.2443741410970688;-0.07771539688110352;-0.3384086787700653;0.11564404517412186;0.0074921282939612865;-0.3136683702468872;0.1595218926668167;-0.014767307788133621;-0.1281329095363617;0.04004077985882759;-0.30297204852104187;-0.08604595065116882;-0.10042205452919006;0.2743017375469208;-0.2505987286567688;-0.08379203826189041;0.21417590975761414;-0.022667966783046722;0.004582833964377642;-0.04259701818227768;0.2362036406993866;-0.0648067444562912;0.2843514084815979;0.08457626402378082;-0.20208589732646942;-0.07480102777481079;0.16728322207927704;-0.031607676297426224;0.012099226005375385;0.07525545358657837;-0.07529270648956299;0.08444208651781082;-0.08361173421144485;0.05591324716806412;-0.36555197834968567;-0.05888953432440758;-0.30293527245521545;0.06751631945371628;0.13295289874076843;-0.1421671062707901;-0.26293665170669556;0.1897526979446411;0.1695786714553833;0.05542435124516487;0.03396754711866379;-0.2302139699459076;-0.015026111155748367;0.01731095276772976;-0.2808760106563568;0.21666288375854492;0.00682828901335597;-0.486907422542572;-0.05544457957148552;0.024254636839032173;-0.1932622790336609;-0.1250465214252472;0.08332636207342148;0.21248683333396912;0.3039731979370117;0.03455985337495804;0.014749736525118351;0.1188971996307373;0.06023050844669342;-0.3351381719112396;-0.30175459384918213;0.19058209657669067;0.029432963579893112;0.016511917114257812;0.01655038446187973;0.004480230156332254;0.07939979434013367;0.15578103065490723;0.36106154322624207;-0.18797644972801208;-0.3211633265018463;-0.14008325338363647;0.0595414862036705;-0.1370389461517334;0.25765740871429443;-0.009751488454639912;0.14798302948474884;0.20857185125350952;-0.25423845648765564;0.2694327235221863;0.04659063369035721;-0.13074441254138947;-0.1255282610654831;0.2233974039554596;0.10069453716278076;-0.1860893964767456;-0.07785885035991669
zonehumide;0.15914584696292877;0.4136946201324463;-0.19622796773910522;-0.10584894567728043;-0.14239276945590973;0.034873005002737045;0.25611236691474915;-0.055007267743349075;-0.4180198907852173;0.23741109669208527;0.15287625789642334;-0.3053569197654724;0.13658858835697174;-0.06645675748586655;-0.11418229341506958;0.13753165304660797;0.16232262551784515;-0.39145907759666443;0.22716368734836578;-0.4344417154788971;0.07485445588827133;0.012171472422778606;0.4682145118713379;-0.36509251594543457;0.10497651249170303;0.2389513999223709;0.01688843034207821;0.04167105630040169;0.0801040306687355;0.23408909142017365;-0.10131794214248657;0.22498571872711182;-0.2607976198196411;-0.48291030526161194;-0.0611787848174572;0.24718962609767914;-0.0865347683429718;0.16580408811569214;0.02088077925145626;-0.14058849215507507;0.00836182665079832;0.15710073709487915;0.13251441717147827;-0.3962196409702301;-0.024924209341406822;-0.43711504340171814;0.13987235724925995;-0.04016529768705368;-0.06586946547031403;-0.12186310440301895;0.315936803817749;0.033287689089775085;0.08249572664499283;-0.14511215686798096;-0.13391821086406708;-0.01898667961359024;-0.009381013922393322;-0.21972107887268066;0.20525993406772614;-0.07825639843940735;-0.5570491552352905;0.10841215401887894;0.028763195499777794;-0.07581233978271484;-0.006352195981889963;0.13550187647342682;0.11034262180328369;0.21807722747325897;0.012950521893799305;-0.10295210033655167;-0.023960547521710396;0.15813042223453522;-0.22224324941635132;-0.22271297872066498;0.38032326102256775;-0.09550265222787857;0.041152473539114;0.1967105120420456;-0.08904395252466202;-0.06368117779493332;0.23999269306659698;0.3588542938232422;-0.3379334509372711;-0.1656760722398758;0.011676508001983166;0.09759504348039627;-0.3055165112018585;0.34383103251457214;-0.193098783493042;0.05070563033223152;-0.006546399090439081;-0.22457630932331085;0.5319855809211731;0.03868287801742554;-0.3389509916305542;-0.34319397807121277;0.2798638641834259;0.11129506677389145;-0.19351480901241302;-0.3460172116756439
rdi71;0.11360110342502594;0.41507381200790405;0.041513167321681976;-0.4876476228237152;-0.32053470611572266;-0.11857648193836212;0.27102115750312805;-0.029938871040940285;-0.34459352493286133;0.31870731711387634;-0.11200930923223495;-0.23207911849021912;0.13074833154678345;0.00031895004212856293;-0.2121168076992035;0.29945045709609985;0.007290689740329981;-0.15815722942352295;0.0461292527616024;-0.2877421975135803;-0.15239353477954865;-0.18377237021923065;0.36035123467445374;-0.1878696084022522;-0.09903345257043839;0.22623851895332336;-0.20376691222190857;-0.11536333709955215;-0.011268715374171734;0.0913829505443573;-0.015430597588419914;0.39660757780075073;-0.02632695809006691;-0.06108761578798294;0.19084742665290833;0.2399076521396637;-0.028414318338036537;0.1632237583398819;-0.15769647061824799;-0.24698098003864288;-0.010104223154485226;-0.1656259149312973;0.053854621946811676;-0.4139244556427002;-0.06848736107349396;-0.45223528146743774;0.24135155975818634;0.11476113647222519;-0.05294259637594223;-0.23783163726329803;0.24683579802513123;0.06119139865040779;0.08840662986040115;-0.0800236240029335;-0.10726889222860336;0.05799438804388046;0.07655634731054306;-0.46769222617149353;0.1478939801454544;0.11247020959854126;-0.34042471647262573;-0.20325417816638947;-0.0236294437199831;-0.18949095904827118;-0.16647376120090485;0.008036059327423573;0.23148269951343536;0.4822763502597809;-0.0014873711625114083;-0.05191085487604141;0.02919982373714447;0.24218377470970154;-0.40618300437927246;-0.2812708020210266;0.4369440972805023;0.07007201761007309;0.1280338019132614;0.18505865335464478;-0.1289200335741043;-0.006086440756917;0.07090194523334503;0.21751566231250763;-0.16057616472244263;-0.3614165782928467;-0.14202415943145752;0.07609923928976059;-0.07105550915002823;0.40472808480262756;0.04399801418185234;0.20993921160697937;0.2581818103790283;-0.19885654747486115;0.37970051169395447;-0.019765300676226616;-0.22280487418174744;-0.30385085940361023;0.19144220650196075;0.1949985921382904;-0.08836270868778229;-0.08559715002775192
contributiongnisauxega;0.06696678698062897;0.4213060736656189;-0.17508092522621155;-0.3995007276535034;-0.1993018537759781;0.02681731805205345;0.033007245510816574;0.026066545397043228;-0.47896113991737366;0.23054084181785583;-0.0764235109090805;-0.5025814175605774;0.33947134017944336;-0.3234359920024872;-0.360995888710022;0.48359256982803345;0.05703998729586601;-0.15395310521125793;-0.022436421364545822;-0.3480404317378998;0.053348325192928314;-0.28096646070480347;0.34180498123168945;-0.46545204520225525;0.054632026702165604;0.10397947579622269;-0.40302982926368713;0.15378959476947784;0.2924160957336426;0.16017703711986542;-0.16812194883823395;0.38519418239593506;-0.06674248725175858;-0.5323501825332642;-0.17881280183792114;0.20606638491153717;-0.09720992296934128;-0.05522586405277252;-0.059443384408950806;-0.026153497397899628;0.15170693397521973;-0.14898312091827393;-0.06917276978492737;-0.3352067470550537;0.20686236023902893;-0.7339193820953369;0.005543531849980354;0.2549035847187042;-0.5705432891845703;-0.22635339200496674;0.17366532981395721;0.36392977833747864;-0.07926951348781586;-0.20548123121261597;-0.2547253966331482;0.1452593207359314;0.012802066281437874;-0.2682904899120331;0.051404476165771484;0.21595445275306702;-0.43411609530448914;-0.1260581910610199;0.0009808865142986178;-0.3558677136898041;-0.05996205285191536;0.18975001573562622;-0.0020835986360907555;0.5148623585700989;0.05917598307132721;-0.18197885155677795;0.023973077535629272;0.35420340299606323;-0.39895573258399963;-0.5178195238113403;0.46780937910079956;-0.14289434254169464;0.007958194240927696;0.3632974326610565;-0.03787596523761749;0.11076200753450394;0.23896057903766632;0.4561747908592224;-0.3393913805484772;-0.4844871163368225;-0.08847367018461227;0.09941845387220383;-0.17634700238704681;0.5566277503967285;-0.01244280207902193;0.025706438347697258;0.09690387547016144;-0.3465324342250824;0.41888734698295593;-0.07205573469400406;-0.22178813815116882;-0.35960671305656433;0.25904911756515503;0.19872231781482697;-0.20245762169361115;-0.004111229442059994
doubleperformance;-0.0828731432557106;0.23533378541469574;-0.20093199610710144;0.09463503211736679;-0.17648589611053467;-0.013552103191614151;0.1458064615726471;-0.16942723095417023;-0.33522382378578186;0.3477504253387451;0.10876281559467316;-0.5768266916275024;0.362297385931015;-0.20816004276275635;-0.35338306427001953;0.1418423354625702;0.02152637019753456;-0.30355358123779297;0.1783958077430725;-0.34143325686454773;-0.06762216240167618;0.02002931945025921;0.48004814982414246;-0.4306303858757019;-0.044769082218408585;0.2872573733329773;-0.0677696242928505;0.1405237317085266;0.14906814694404602;0.01258532702922821;-0.021121324971318245;0.11741472780704498;-0.11304956674575806;-0.5693747401237488;-0.15829429030418396;0.24158047139644623;-0.05129184573888779;-0.30857571959495544;-0.04758378490805626;-0.11074815690517426;-0.08301828801631927;-0.02381582371890545;-0.023672908544540405;-0.46366265416145325;0.14269816875457764;-0.5893880724906921;-0.22385969758033752;0.2019590586423874;-0.3556741178035736;-0.11279229819774628;0.20052510499954224;0.1271127462387085;-0.10703818500041962;-0.08513882756233215;-0.2658229470252991;-0.03623461723327637;-0.08059361577033997;-0.13897331058979034;0.03951755166053772;0.17536082863807678;-0.29206010699272156;-0.0708741769194603;-0.056887928396463394;-0.15466712415218353;-0.051342256367206573;0.32906287908554077;0.2903958857059479;0.23441846668720245;-0.047808416187763214;-0.1759966015815735;0.059790778905153275;0.26695722341537476;-0.283925861120224;-0.1884511113166809;0.5783075094223022;-0.11194736510515213;0.06895233690738678;0.16419732570648193;0.04806428402662277;-0.05110888183116913;0.19828854501247406;0.32551640272140503;-0.5213180780410767;-0.16859960556030273;-0.21693508327007294;-0.00793618056923151;-0.2798325717449188;0.5030524134635925;-0.1825966089963913;0.042756643146276474;0.25594663619995117;-0.4252707362174988;0.4443197250366211;-0.03787735477089882;-0.23696249723434448;-0.2839657664299011;0.10786628723144531;0.17384575307369232;-0.19875112175941467;0.02247718535363674
sylviculture;0.03292189911007881;0.15487241744995117;-0.04799121618270874;-0.21301275491714478;-0.13353228569030762;-0.1264544278383255;0.2065047174692154;0.01167842373251915;-0.27488791942596436;0.1251845508813858;-0.08391740918159485;-0.19443677365779877;0.10128530859947205;-0.07325883209705353;-0.19305548071861267;0.14160096645355225;0.03555676341056824;-0.2642340064048767;-0.015706228092312813;-0.2667868733406067;0.0329209566116333;-0.2452135682106018;0.41076284646987915;-0.23533235490322113;0.005603155121207237;0.05314767733216286;-0.15030783414840698;0.14032696187496185;-0.03467301279306412;0.13397283852100372;-0.02024797908961773;0.23064354062080383;-0.12688791751861572;-0.24827943742275238;-0.05808371305465698;0.2195117324590683;-0.12241759151220322;-0.03312178701162338;-0.016821760684251785;-0.0640498548746109;-0.14842264354228973;-0.024512192234396935;0.0009224880486726761;-0.30630192160606384;0.020812878385186195;-0.378994345664978;0.07736764848232269;-0.019454050809144974;-0.10630692541599274;-0.12977133691310883;0.10350002348423004;-0.004122588317841291;-0.13236382603645325;-0.18959775567054749;-0.21067668497562408;0.1149802953004837;-0.057481277734041214;-0.2722931504249573;0.12713636457920074;-0.04102629795670509;-0.41221675276756287;-0.02414621040225029;0.07815278321504593;-0.007853406481444836;-0.19510464370250702;0.10786597430706024;-0.012107878923416138;0.22134415805339813;0.18162572383880615;-0.11279675364494324;-0.011778663843870163;0.11539150029420853;-0.2398921251296997;-0.15355484187602997;0.4630592167377472;-0.07678012549877167;0.03642875701189041;0.2036397010087967;-0.03526875749230385;-0.04918168485164642;0.1781972050666809;0.3206945061683655;-0.15674281120300293;-0.2781153619289398;-0.05330928415060043;-0.028348851948976517;-0.07259723544120789;0.2658105194568634;-0.056777749210596085;0.05106765404343605;0.12885713577270508;-0.3073367178440094;0.36214420199394226;-0.022758856415748596;-0.21268582344055176;-0.29571372270584106;0.2388637661933899;0.22296170890331268;-0.20238815248012543;-0.1052514910697937
sécuritéalimentaire;-0.011850953102111816;0.25851309299468994;-0.2529347836971283;-0.32300305366516113;-0.08051449060440063;-0.11340907961130142;0.003192216157913208;-0.03254375234246254;-0.4111379086971283;0.2095651626586914;-0.0989963635802269;-0.4646332263946533;0.3722383975982666;-0.08581439405679703;-0.33169952034950256;0.15173883736133575;0.11441671848297119;-0.17977511882781982;-0.02534450776875019;-0.34133681654930115;-0.037615541368722916;-0.25044333934783936;0.4974287450313568;-0.24770815670490265;-0.07904195040464401;0.08252232521772385;-0.14754189550876617;0.018834952265024185;0.047964517027139664;0.09769900888204575;-0.0626264289021492;0.29571762681007385;0.019152801483869553;-0.32216957211494446;-0.1322673261165619;0.21896743774414062;-0.1200292706489563;-0.04679553210735321;0.045664627104997635;0.06782419234514236;-0.03562760725617409;-0.1292514055967331;0.09676984697580338;-0.47778937220573425;0.014084984548389912;-0.5672091841697693;0.040161117911338806;0.19874818623065948;-0.10509347170591354;-0.11271205544471741;0.1569570153951645;0.08026228100061417;-0.1649121642112732;-0.19158995151519775;-0.3025799095630646;0.005934447515755892;0.04503295198082924;-0.3900175988674164;0.22111935913562775;0.17737120389938354;-0.4015697240829468;0.016277823597192764;-0.13422198593616486;-0.20399479568004608;-0.20319421589374542;0.30688193440437317;0.2843841314315796;0.4222978353500366;0.05349372327327728;-0.0008439552038908005;0.12103933095932007;0.2038036584854126;-0.329549103975296;-0.16693353652954102;0.3076895773410797;-0.06150701642036438;0.05973653122782707;0.15574710071086884;0.2118949145078659;-0.08098103851079941;0.20285405218601227;0.24586035311222076;-0.18425588309764862;-0.3060576021671295;-0.11822959035634995;0.04506406560540199;-0.08143036812543869;0.4056378901004791;-0.12405163049697876;0.16264325380325317;0.007286611944437027;-0.2533559799194336;0.2830052077770233;0.0020066723227500916;-0.28828492760658264;-0.26127612590789795;0.20891976356506348;0.19704878330230713;-0.21302102506160736;-0.03680204227566719
