;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
damart;0.2479487955570221;0.2632308602333069;0.4734709858894348;-0.21474333107471466;-0.48803576827049255;0.5380377173423767;-0.08800351619720459;-0.0612003430724144;0.12142360210418701;0.1112038642168045;0.19750721752643585;-0.1561776101589203;0.12608270347118378;0.09889350086450577;0.020169036462903023;0.20248885452747345;-0.018700730055570602;-0.22241659462451935;0.05878544598817825;-0.13582710921764374;-0.1269839107990265;-0.14015981554985046;-0.13958986103534698;-0.06454906612634659;0.02605261839926243;0.37464937567710876;-0.08491146564483643;-0.08124958723783493;0.11524178087711334;0.10576178878545761;-0.4392746090888977;-0.12449856102466583;0.19029033184051514;0.24181075394153595;-0.0416950061917305;-0.15631666779518127;0.10665826499462128;-0.14713534712791443;-0.1919928342103958;0.09631669521331787;-0.12533406913280487;0.01850181445479393;0.12042003870010376;-0.3529694676399231;-0.15113040804862976;-0.2914979159832001;0.5194905400276184;-0.13389888405799866;0.04485097527503967;-0.28438353538513184;-0.2630341351032257;0.04486243054270744;0.20198841392993927;-0.17858853936195374;-0.6829574704170227;-0.17008233070373535;-0.7208254933357239;-0.2429111748933792;0.0826871246099472;0.04645904153585434;-0.13172051310539246;-0.0002741679491009563;0.7363234758377075;-0.20276835560798645;-0.16204087436199188;0.18230953812599182;0.04376167058944702;0.5006785988807678;-0.03248174861073494;-0.05764445662498474;0.003141979919746518;0.33505889773368835;-0.12927226722240448;0.08681407570838928;0.1779567301273346;-0.11151206493377686;0.01862025260925293;0.2541620135307312;-0.237919420003891;-0.5005303025245667;0.017492186278104782;0.36670923233032227;0.13468237221240997;-0.6862620115280151;-0.07876335084438324;0.14539912343025208;0.17613562941551208;-0.0016446560621261597;-0.07202315330505371;0.09030125290155411;0.2664918005466461;0.14040960371494293;0.13156646490097046;0.5065076351165771;-0.32250142097473145;-0.44032859802246094;0.3859037756919861;0.44313034415245056;-0.04992907494306564;-0.15482255816459656
daewoo;0.14740724861621857;0.26119130849838257;-0.050122033804655075;-0.14232848584651947;-0.0540844090282917;-0.13582094013690948;-0.022183040156960487;0.10801883041858673;-0.0559774748980999;0.03742695599794388;0.27417635917663574;-0.05096461623907089;0.1127551794052124;0.019621970131993294;0.05589607357978821;0.29227927327156067;-0.06448355317115784;-0.08391053974628448;-0.11972542852163315;-0.05486617237329483;0.028626596555113792;-0.2343815565109253;-0.0876176729798317;-0.01313522644340992;-0.08469740301370621;0.11419971287250519;-0.09114640951156616;0.08636145293712616;-0.07418480515480042;0.12473758310079575;-0.08322682231664658;-0.18400126695632935;0.17822657525539398;-0.20921893417835236;-0.1395513266324997;0.05075715854763985;-0.012893822975456715;-0.028715863823890686;-0.06299696117639542;-0.07371103763580322;-0.15588703751564026;-0.18306615948677063;0.1532043069601059;-0.07245037704706192;-0.07493957132101059;-0.3835781514644623;0.04486297816038132;-0.1257755160331726;0.18650031089782715;-0.02099405787885189;0.19631685316562653;0.20806097984313965;0.2561962306499481;-0.056680284440517426;-0.22063389420509338;-0.06598545610904694;-0.05073023959994316;-0.05553634092211723;0.13086719810962677;-0.14558129012584686;-0.3505670726299286;0.23943743109703064;0.12070222944021225;-0.09844222664833069;0.037873342633247375;-0.007974047213792801;0.09847027063369751;0.2267560064792633;0.05364089459180832;-0.048320554196834564;0.10474236309528351;0.21941952407360077;0.08681041747331619;-0.204508975148201;0.24569353461265564;0.0626884400844574;-0.14680179953575134;0.11809021234512329;-0.13107827305793762;-0.08271346986293793;-0.0321480855345726;0.2568337321281433;0.01772971823811531;-0.3420489430427551;0.021374594420194626;-0.02518933080136776;-0.18350812792778015;0.23884816467761993;-0.12548518180847168;0.12806032598018646;0.25987038016319275;-0.03890376165509224;0.22117790579795837;0.060981251299381256;-0.18932870030403137;-0.005813815630972385;0.31060200929641724;0.20818403363227844;-0.0358353890478611;0.05449361726641655
dieselgate;0.3069629669189453;0.5931820273399353;-0.952944278717041;-0.19890998303890228;-0.508415162563324;-0.5506777763366699;-0.16949856281280518;0.49913227558135986;0.10674940049648285;0.04539560526609421;0.2362719476222992;-0.5661913156509399;0.2916361093521118;0.24250102043151855;-0.48678815364837646;0.4055894911289215;-0.4101550579071045;-0.2619706392288208;-0.1902659386396408;-0.4656713902950287;-0.16993719339370728;0.07672910392284393;0.23907315731048584;-0.24686755239963531;-0.23319941759109497;0.1420149803161621;-0.26966220140457153;-0.14225298166275024;-0.04008138179779053;0.26102104783058167;-0.2248336672782898;-0.11603961884975433;0.17989683151245117;-0.13462360203266144;-0.5480352640151978;0.24058455228805542;-0.31865137815475464;-0.32452601194381714;-0.34063681960105896;-0.10753133147954941;-0.16755399107933044;-0.06399787962436676;-0.2528679370880127;-0.36760902404785156;0.047621797770261765;-0.7972552180290222;0.3115852475166321;0.3796952962875366;-0.09496556222438812;-0.14588572084903717;0.11186222732067108;0.08639255166053772;0.021687721833586693;0.309379905462265;-0.5064062476158142;-0.13943634927272797;-0.06676885485649109;-0.12699177861213684;-0.10738329589366913;-0.11161822080612183;-0.6191354393959045;0.4471040964126587;-0.12048116326332092;-0.3522263169288635;-0.07276426255702972;0.10024943947792053;0.5774990320205688;0.5657501220703125;0.12605325877666473;-0.49816811084747314;0.4999304413795471;0.5126602649688721;-0.13807742297649384;-0.31991010904312134;0.24890320003032684;0.14348967373371124;-0.22330205142498016;-0.15717893838882446;0.02058999054133892;-0.2668733596801758;0.2080448418855667;0.39605313539505005;0.1089913547039032;-0.3922969102859497;0.2066972255706787;-0.44949570298194885;-0.08494186401367188;0.6808137893676758;-0.21541205048561096;-0.19003450870513916;-0.18321315944194794;-0.5458846688270569;0.6192468404769897;-0.12205248326063156;-0.5099468231201172;0.0014609647914767265;0.18282854557037354;0.02503364346921444;0.11452923715114594;0.10059693455696106
citroën;0.31080275774002075;0.6793302297592163;-0.3402289152145386;-0.592227041721344;-0.8321210741996765;-0.57464599609375;-0.023471640422940254;0.450681209564209;0.07222738116979599;0.19182008504867554;0.18505509197711945;0.11046186834573746;-0.011511929333209991;0.0799294114112854;0.16151529550552368;-0.11487753689289093;0.15053340792655945;-0.4883381724357605;-0.7072533369064331;-0.38869935274124146;-0.12175695598125458;-0.12222492694854736;-0.10307677090167999;0.3341352641582489;-0.01727750524878502;0.36239466071128845;-0.2096644639968872;-0.1472480297088623;-0.06269025802612305;0.07407721877098083;-0.11404190957546234;-0.3278389275074005;0.24483318626880646;-0.04060034081339836;-0.06167744845151901;0.03186639025807381;-0.006479153875261545;-0.14338690042495728;-0.02970094047486782;0.023623531684279442;-0.5205613374710083;-0.6166236996650696;0.26901939511299133;-0.1788797676563263;-0.058108627796173096;-0.34259486198425293;0.3105970621109009;-0.13070760667324066;-0.12353409826755524;-0.10079916566610336;0.13158054649829865;0.36179298162460327;0.7396119832992554;0.132541686296463;-0.2712760865688324;-0.3287864029407501;-0.3358508050441742;-0.35697752237319946;0.1429782211780548;-0.10611920058727264;-0.5669605135917664;0.253684401512146;0.38491183519363403;-0.35891321301460266;0.1251068413257599;0.02488846518099308;-0.05783408135175705;0.8406621813774109;0.09244459867477417;-0.27420124411582947;0.1520063579082489;0.22396159172058105;0.09063191711902618;-0.5534939169883728;0.5982538461685181;-0.15143521130084991;-0.05803845077753067;0.2765151560306549;-0.4441337585449219;-0.33948391675949097;-0.12422343343496323;0.6473075747489929;0.22284317016601562;-0.38181909918785095;-0.007200521882623434;0.03012177348136902;0.04955190420150757;0.21713988482952118;0.5097079873085022;0.14088740944862366;0.5761803984642029;0.03876548260450363;0.6076492071151733;0.07095902413129807;-0.6520930528640747;0.19528986513614655;0.4744649827480316;0.2068549394607544;0.12929683923721313;-0.0809677243232727
320d;0.03568214923143387;0.41099679470062256;-0.23384812474250793;-0.10379050672054291;-0.17090119421482086;-0.14767885208129883;-0.0303407721221447;0.1556958258152008;0.09384220838546753;0.13417577743530273;0.09649638086557388;-0.12648817896842957;0.03592677786946297;0.09115691483020782;-0.024797473102808;0.26755958795547485;0.03394624963402748;-0.12447835505008698;-0.2990387976169586;0.06197313964366913;-0.22031091153621674;-0.1726515144109726;-0.03940577805042267;0.16541968286037445;0.15893909335136414;0.1637018620967865;0.10834038257598877;0.140848308801651;-0.06300058215856552;0.18422310054302216;0.028125187382102013;-0.31745487451553345;0.16908012330532074;-0.11861817538738251;-0.2684517502784729;0.09751711785793304;-0.008291900157928467;-0.2261280119419098;-0.2918258309364319;0.11605745553970337;-0.1197015792131424;-0.1033097580075264;-0.02590520866215229;-0.2877798080444336;0.06041280925273895;-0.3263370394706726;0.13360922038555145;-0.1627756506204605;-0.045139677822589874;-0.08081025630235672;0.00924829300493002;0.22835376858711243;0.24268019199371338;-0.04666997119784355;-0.15604296326637268;-0.04426516592502594;-0.16146597266197205;-0.1380387544631958;0.11182116717100143;-0.20160940289497375;-0.19010980427265167;0.15488813817501068;0.29157084226608276;0.0832287147641182;-0.020357437431812286;0.03504033386707306;-0.06463451683521271;0.4212273359298706;-0.005787509493529797;-0.0756453201174736;0.13815851509571075;0.10751575231552124;0.08611524105072021;-0.18241675198078156;0.32277747988700867;0.2241227626800537;0.025652142241597176;-0.03958916291594505;-0.1921142041683197;-0.2705569863319397;-0.0022026889491826296;0.3102441430091858;-0.05513240769505501;-0.20094068348407745;0.04285123199224472;-0.025857610628008842;0.0692746713757515;0.18315373361110687;0.05300367996096611;-0.1259763538837433;0.38827311992645264;-0.06959176063537598;0.03655846789479256;0.14601978659629822;-0.2986128628253937;-0.10797509551048279;0.25582560896873474;0.08949648588895798;-0.1746317595243454;0.07876879721879959
tiguan;0.12693533301353455;0.5958430767059326;-0.20239587128162384;-0.2998463213443756;-0.2888517379760742;-0.3654472827911377;-0.0606263093650341;0.6011244654655457;0.014622172340750694;-0.026392493396997452;0.10675632953643799;0.05347878858447075;0.1362089216709137;0.28758496046066284;-0.06736825406551361;0.07635191828012466;0.0009822130668908358;-0.18455347418785095;-0.4183097779750824;-0.24043743312358856;-0.14724105596542358;-0.21607621014118195;-0.11920056492090225;0.24928371608257294;-0.07762587070465088;0.08943372219800949;0.11116894334554672;0.033946443349123;0.0002490028855390847;0.16176961362361908;-0.2916197180747986;-0.37390536069869995;0.3884531855583191;-0.22125950455665588;-0.16226854920387268;0.07014003396034241;0.04756049066781998;-0.5516732931137085;-0.24196963012218475;0.2718678116798401;-0.44903308153152466;-0.03530963882803917;-0.04156217724084854;-0.27470865845680237;-0.0620572566986084;-0.22027048468589783;0.31873759627342224;-0.2426530420780182;0.16570612788200378;-0.3397619426250458;0.12779708206653595;0.17974336445331573;0.5148603320121765;0.1234409362077713;-0.2872585654258728;-0.16029515862464905;-0.2694546580314636;-0.1887630969285965;0.2311050146818161;-0.21678213775157928;-0.5081334114074707;0.0921955481171608;0.448922723531723;0.1328115016222;-0.019430916756391525;-0.19704368710517883;0.14212138950824738;0.6125204563140869;-0.09810216724872589;-0.01096646673977375;0.14692138135433197;0.4573691487312317;0.19052079319953918;-0.21289858222007751;0.31120550632476807;-0.10936857759952545;-0.3307299017906189;-0.1937074214220047;-0.2488643229007721;-0.45902371406555176;-0.05854679271578789;0.42192286252975464;0.06538065522909164;-0.542120099067688;0.2862640619277954;0.029836732894182205;0.12052474915981293;-0.03931472450494766;0.34783297777175903;-0.12598174810409546;0.47761106491088867;-0.19450165331363678;0.37456899881362915;-0.019141074270009995;-0.2131395787000656;-0.2592785358428955;0.34048324823379517;0.2948029637336731;0.161320298910141;-0.024391643702983856
cachemire;0.08683796226978302;0.5122933387756348;0.2786172330379486;0.05512232705950737;-0.3790009915828705;0.6933057904243469;-0.14266595244407654;0.1995646357536316;-0.06061304733157158;0.624852180480957;0.3091215193271637;-0.23075087368488312;0.4963147044181824;0.11203012615442276;0.20593078434467316;0.3312445282936096;-0.1319715678691864;-0.1928924024105072;0.10741530358791351;-0.5358667373657227;-0.04085133224725723;-0.09177561849355698;-0.2363050878047943;0.2691267132759094;-0.17148466408252716;0.42604860663414;0.020239058881998062;-0.1291181743144989;0.17733527719974518;0.14900696277618408;-0.5606291890144348;-0.3003998398780823;0.1547384411096573;0.6887343525886536;-0.4593198895454407;-0.27525243163108826;0.04866429418325424;-0.2152513712644577;-0.6039490699768066;-0.06554722040891647;-0.34261947870254517;-0.20513823628425598;-0.08608423173427582;-0.37112051248550415;-0.18184557557106018;-0.31235426664352417;0.5915575623512268;-0.43060198426246643;-0.0669158399105072;-0.3895891308784485;-0.5393707156181335;0.11086322367191315;-0.02832319401204586;-0.24080760776996613;-0.7618392109870911;-0.2899368703365326;-0.4633191227912903;-0.14792020618915558;0.6236268877983093;0.3361813426017761;0.11025328934192657;0.3444792926311493;0.7265816330909729;0.08561506122350693;-0.22500887513160706;0.6609311103820801;-0.07094995677471161;0.4684484004974365;-0.17504747211933136;0.1293271780014038;0.033821024000644684;0.13872572779655457;-0.13746939599514008;-0.186772421002388;-0.014567652717232704;-0.3042133152484894;-0.23292724788188934;0.20252802968025208;0.08486893028020859;-0.6237567663192749;0.2238871306180954;0.11645370721817017;-0.17663493752479553;-0.8119863271713257;0.1610133796930313;0.3767203390598297;-0.14785785973072052;-0.0028509856201708317;-0.05556907504796982;-0.5099712610244751;0.3994669020175934;0.21939758956432343;0.0572131983935833;0.1409870684146881;-0.6486309170722961;-0.6618844270706177;0.47138911485671997;0.3868577182292938;-0.46534720063209534;0.08676604181528091
4×4;0.02498139813542366;0.5929667353630066;-0.11052272468805313;-0.24613621830940247;-0.3201248347759247;-0.3893221318721771;-0.030030077323317528;0.28811970353126526;0.06340241432189941;0.18395474553108215;0.13758733868598938;0.00045049487380310893;-0.031517550349235535;0.13472437858581543;-0.023683374747633934;0.06101890280842781;0.08704777806997299;-0.1718795895576477;-0.32848963141441345;-0.1017121821641922;-0.4017782211303711;-0.4618455767631531;-0.0273346696048975;0.12635162472724915;-0.09182459115982056;0.049837950617074966;0.15174110233783722;0.12740811705589294;-0.07430513948202133;0.20546653866767883;-0.17949627339839935;-0.358137309551239;0.23798227310180664;-0.08484818041324615;-0.21381273865699768;-0.1291389912366867;0.20364229381084442;-0.318511426448822;-0.2880690097808838;-0.09474919736385345;-0.3385221064090729;0.01624259725213051;0.0046698106452822685;-0.5100418329238892;0.02873796783387661;-0.11960196495056152;0.08330873399972916;-0.09744390100240707;0.07873354852199554;-0.17290139198303223;-0.10483185946941376;0.0760858803987503;0.34780606627464294;0.08859578520059586;-0.12600940465927124;-0.07508698850870132;-0.234205961227417;-0.2114294320344925;0.25238603353500366;-0.1737130731344223;-0.25060319900512695;0.3656276762485504;0.00547484215348959;-0.06960542500019073;0.04187573865056038;-0.0069836704060435295;-0.02411651238799095;0.34184738993644714;0.0889398604631424;-0.04469873756170273;0.07973994314670563;0.1977149248123169;0.04072006791830063;-0.10127222537994385;0.38302081823349;0.16744618117809296;-0.06445161998271942;0.01365883182734251;0.041488055139780045;-0.18740354478359222;-0.08018846809864044;0.5057417154312134;0.218954399228096;-0.486890971660614;0.26670125126838684;-0.29658403992652893;0.018284844234585762;0.1554686576128006;0.2805714011192322;-0.07934898138046265;0.40931376814842224;-0.12589173018932343;0.11748050153255463;-0.031482845544815063;-0.4116877019405365;-0.16045455634593964;0.318377822637558;0.12145459651947021;-0.1970280408859253;0.05238823965191841
taxons;0.25297117233276367;0.46356725692749023;-0.35756585001945496;-0.2118140459060669;-0.5302737355232239;-0.05947425216436386;-0.009496388956904411;0.1125272735953331;-0.4281463027000427;0.18129666149616241;0.44105976819992065;-0.574816882610321;0.4294738173484802;-0.33734774589538574;0.024603305384516716;0.66185462474823;-0.10048536956310272;-0.4129928648471832;-0.23255038261413574;-0.26905637979507446;-0.07990529388189316;-0.30995795130729675;0.49090757966041565;-0.25733959674835205;-0.04183391481637955;0.5154980421066284;0.062053509056568146;0.1710650622844696;0.26309219002723694;0.05614796280860901;-0.2619472146034241;0.1518016755580902;0.39319005608558655;-0.07615049183368683;-0.2932301163673401;0.3024587631225586;-0.037479281425476074;0.011108620092272758;-0.4650700092315674;-0.3669380843639374;-0.2578542232513428;0.2710026800632477;-0.20593829452991486;-0.3274220824241638;0.18731577694416046;-0.845840573310852;0.2884296774864197;0.1109752282500267;-0.27163809537887573;-0.32040077447891235;0.14072594046592712;-0.17496232688426971;-0.0782548040151596;0.18957489728927612;-0.3329278826713562;-0.07157506048679352;0.25132298469543457;-0.03171144425868988;0.04014040529727936;0.13265982270240784;-0.6343960762023926;0.3067858815193176;-0.014662894420325756;0.206635519862175;0.03680582344532013;-0.13629573583602905;0.07843846082687378;0.41299405694007874;-0.04109128937125206;-0.17138239741325378;0.002440230455249548;0.25755101442337036;-0.21467995643615723;0.08322179317474365;0.4952392578125;0.070778027176857;0.11408215761184692;0.16316038370132446;-0.08973432332277298;0.01037820614874363;0.27946993708610535;0.48619356751441956;0.048347849398851395;-0.23966732621192932;-0.06516283750534058;-0.04311244562268257;-0.25145387649536133;0.37564682960510254;-0.20392541587352753;0.011751641519367695;-0.18341901898384094;-0.37592658400535583;0.6696463823318481;-0.20299836993217468;-0.29225602746009827;-0.34937533736228943;-0.0111872972920537;0.43681907653808594;-0.09218113124370575;-0.035913415253162384
140ch;0.14667674899101257;0.6219555139541626;-0.09247492253780365;-0.32880473136901855;-0.36643821001052856;-0.2241499423980713;-0.08677525818347931;0.1325090527534485;-0.09134143590927124;-0.019674545153975487;-0.08076871931552887;-0.13171035051345825;0.06433916091918945;0.15427207946777344;-0.14989104866981506;0.240520179271698;-0.06242508441209793;-0.2485078126192093;-0.43334102630615234;-0.1723683774471283;-0.25917792320251465;-0.47722524404525757;-0.08065082877874374;-0.04062261804938316;-0.07831133902072906;0.18634742498397827;0.06905022263526917;0.04466601833701134;-0.08352065086364746;0.04397827386856079;-0.14703385531902313;-0.150780588388443;0.3236350417137146;-0.2056172490119934;-0.2942885160446167;-0.20661677420139313;0.22855189442634583;-0.2737284004688263;-0.26268327236175537;0.050307199358940125;-0.17139896750450134;-0.16862311959266663;-0.17516319453716278;-0.3855891823768616;-0.12769757211208344;-0.36287736892700195;0.13746729493141174;-0.3040635585784912;0.04728366434574127;-0.16037151217460632;0.01263691671192646;0.24742229282855988;0.27652105689048767;0.015019454061985016;-0.23136991262435913;-0.0616755411028862;-0.23161554336547852;-0.21896213293075562;-0.04000284522771835;-0.17782936990261078;-0.41557490825653076;0.29721692204475403;0.18371619284152985;-0.009502763859927654;0.0025558723136782646;0.07824235409498215;0.00983140617609024;0.39772194623947144;0.15706488490104675;0.12671324610710144;0.19945871829986572;0.1352413445711136;0.1454213559627533;-0.22766900062561035;0.47802454233169556;-0.07510494440793991;-0.19845353066921234;0.009759500622749329;-0.11177356541156769;-0.32769471406936646;-0.045700106769800186;0.2601725459098816;0.029058242216706276;-0.2840004861354828;0.0570426881313324;-0.01795254647731781;0.12114857137203217;0.2663043141365051;0.2585733234882355;-0.005539814010262489;0.2848902940750122;-0.08325809985399246;0.1460411697626114;-0.08972737193107605;-0.263651967048645;-0.030576882883906364;0.1550953984260559;0.2513546347618103;0.009908976033329964;-0.01836257427930832
