;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
moyen-orient;0.07826370000839233;0.03933213651180267;-0.3582949638366699;0.2066234052181244;-0.1563718169927597;0.03681088984012604;-0.07310692220926285;0.3226233124732971;-0.8970952033996582;0.4291003346443176;0.0896790400147438;-0.9203640222549438;0.791649341583252;0.2120649367570877;-0.4346768856048584;-0.19790327548980713;0.09520082175731659;0.1721041202545166;0.09127438068389893;-0.3848223388195038;-0.1687520444393158;-0.34829360246658325;0.28092658519744873;0.04439110681414604;-0.3933919370174408;-0.3540757894515991;0.19612398743629456;0.24895505607128143;0.1082175001502037;0.06849353015422821;0.03947420418262482;0.194076806306839;-0.21977069973945618;-0.10222452878952026;-0.6824289560317993;0.46115344762802124;-0.1947774887084961;-0.047644518315792084;0.05889475345611572;0.04988939315080643;-0.0553988441824913;-0.16247116029262543;0.1690862774848938;0.006561674177646637;0.16864867508411407;-0.6659830808639526;0.25070202350616455;0.666594922542572;-0.443347692489624;-0.35359206795692444;-0.15167751908302307;-0.1486162394285202;-0.5415314435958862;-0.03717397525906563;-0.40922313928604126;-0.4948159158229828;0.0868435874581337;-0.4018356204032898;0.551019012928009;0.2923361361026764;-0.866779625415802;0.19430609047412872;0.0461229532957077;-0.06299452483654022;-0.48628729581832886;0.4924986958503723;0.25068268179893494;0.43704289197921753;-0.10854692757129669;-0.058452267199754715;0.021787282079458237;0.1363523304462433;-0.20172381401062012;-0.25596681237220764;0.44031113386154175;-0.006029658950865269;-0.2392388880252838;-0.17525531351566315;0.5467945337295532;0.13620348274707794;0.3676804006099701;0.3961232304573059;0.23566818237304688;-0.6081399321556091;0.3655340075492859;-0.3886720538139343;-0.28909754753112793;0.12871751189231873;-0.4382597804069519;0.07015785574913025;-0.4641132950782776;-0.04362139478325844;0.38042178750038147;-0.2507067322731018;-0.40066957473754883;-0.32811352610588074;0.19281437993049622;0.2521423399448395;0.07016448676586151;0.1477087140083313
dioxygène;-0.14376147091388702;0.3121531903743744;0.031328234821558;-0.2789005935192108;-0.10217706114053726;-0.0009519600425846875;-0.045830439776182175;0.09716394543647766;-0.27018359303474426;-0.09690354019403458;-0.06790824979543686;-0.23085707426071167;0.20148152112960815;-0.08087543398141861;-0.31445565819740295;0.25186657905578613;-0.20773424208164215;-0.06470447033643723;-0.06442492455244064;-0.16034477949142456;-0.11940421909093857;-0.3150322437286377;0.11265510320663452;-0.09047684818506241;-0.0801759734749794;-0.05131519213318825;0.08118469268083572;0.24329154193401337;-0.05525515601038933;0.2985217273235321;-0.31437480449676514;-0.04216547682881355;-0.025329170748591423;-0.37418726086616516;-0.3011595904827118;0.1449991762638092;-0.1587638556957245;-0.09034638851881027;-0.02024722658097744;-0.06221723556518555;-0.27893689274787903;0.1245049238204956;0.0734739899635315;-0.2321154922246933;-0.10450161248445511;-0.14031095802783966;-0.11960207670927048;-0.004112610127776861;-0.19329790771007538;-0.20108525454998016;0.03392176702618599;-0.12116607278585434;0.07905600965023041;-0.19884668290615082;-0.025893772020936012;-0.05598044395446777;-0.17620640993118286;-0.10337495803833008;0.03004925698041916;-0.07671337574720383;-0.16937856376171112;0.138099804520607;0.06692966818809509;-0.10249017924070358;-0.2558867931365967;0.4016890227794647;0.06945324689149857;0.20766891539096832;0.22383694350719452;-0.13378433883190155;0.08869438618421555;0.15642856061458588;-0.18281273543834686;0.11362877488136292;0.3107035160064697;0.09372305124998093;-0.19583900272846222;0.06478294730186462;0.015445947647094727;-0.29040637612342834;0.178169846534729;0.4026886522769928;-0.14396153390407562;-0.27576836943626404;0.18667817115783691;0.12451890856027603;-0.15429459512233734;0.2710776627063751;-0.36307719349861145;0.039447326213121414;0.09278583526611328;-0.28220489621162415;0.07633712142705917;0.12397342175245285;-0.07149570435285568;-0.26707836985588074;0.18082809448242188;0.3214937746524811;-0.18331192433834076;-0.06045639142394066
sonatrach;0.06401190161705017;0.33536118268966675;-0.13172049820423126;-0.2168484777212143;-0.15553130209445953;-0.1196938306093216;-0.13883717358112335;0.13095508515834808;-0.362307071685791;0.1329258382320404;-0.09935202449560165;-0.39364564418792725;0.37783801555633545;0.057677749544382095;-0.46829861402511597;0.30132049322128296;-0.06501223891973495;-0.17283689975738525;-0.0025196410715579987;-0.15265613794326782;-0.020255781710147858;-0.22122806310653687;0.18023742735385895;-0.23607312142848969;-0.15017971396446228;0.009500927291810513;-0.15648041665554047;0.11679612845182419;-0.02695547789335251;0.07267532497644424;-0.2072787880897522;0.2727598547935486;0.18045634031295776;-0.24316126108169556;-0.20630718767642975;0.1749088615179062;-0.13050487637519836;0.1264728158712387;-0.17756205797195435;-0.05714057758450508;-0.0968141034245491;-0.1718376874923706;0.10743453353643417;-0.27939897775650024;-0.08464664965867996;-0.6042621731758118;-0.05735351890325546;0.14599165320396423;-0.05424652621150017;-0.30758553743362427;0.119382843375206;0.2653563916683197;-0.12378929555416107;0.12254752218723297;-0.24319446086883545;-0.1281663030385971;-0.012441339902579784;-0.05021275207400322;0.12671689689159393;0.12287434190511703;-0.4016161561012268;0.25869882106781006;-0.12792709469795227;-0.20327119529247284;-0.21266287565231323;0.21145884692668915;0.30852940678596497;0.3716130256652832;0.18385401368141174;0.012276245281100273;0.17547601461410522;0.28194254636764526;-0.16491571068763733;-0.21107827126979828;0.3040016293525696;0.03608153387904167;-0.18571975827217102;0.11560139060020447;0.029000356793403625;-0.06664523482322693;0.12120122462511063;0.2860594093799591;-0.06218035891652107;-0.4021669030189514;-0.09702476859092712;-0.03662412613630295;-0.08405335247516632;0.42894411087036133;-0.22926129400730133;0.20457956194877625;-0.2083386778831482;-0.12823368608951569;0.4109002351760864;-0.03380100429058075;-0.2495867908000946;-0.12542526423931122;0.26123306155204773;0.12553760409355164;-0.11785118281841278;-0.11993330717086792
phosphore;0.0169815756380558;0.2911725640296936;-0.5367938876152039;-0.2046603411436081;-0.28355535864830017;0.10936460644006729;-0.038440752774477005;0.10145274549722672;-0.5414943099021912;0.067186139523983;-0.12441693246364594;-0.34610557556152344;0.6523491144180298;0.14447739720344543;-0.0014901787508279085;0.5259304642677307;0.014384227804839611;0.2025192230939865;0.04797205328941345;-0.24115324020385742;-0.841306209564209;-0.3324544429779053;0.0360078364610672;-0.2888180911540985;-0.2562698721885681;0.24270372092723846;0.004410050809383392;-0.1566229611635208;-0.0004924222594127059;-0.2588384449481964;-0.021107971668243408;0.32332462072372437;0.09890063852071762;-0.023040257394313812;-0.32290518283843994;0.33416590094566345;-0.2668652832508087;-0.163787379860878;-0.16930100321769714;-0.20916035771369934;-0.36110609769821167;-0.18622645735740662;-0.13089105486869812;-0.23262405395507812;-0.05357782915234566;-0.3250524401664734;-0.10529126971960068;0.1321273297071457;-0.2533351480960846;-0.2109946757555008;-0.13990303874015808;-0.42435917258262634;0.09717659652233124;-0.023744279518723488;-0.30162864923477173;-0.01430788915604353;0.005078613758087158;-0.18592526018619537;0.3479447364807129;0.10821671783924103;-0.20273485779762268;0.4727071225643158;-0.09627527743577957;-0.3339575231075287;-0.41331595182418823;0.20502439141273499;0.05986936017870903;0.5025440454483032;-0.020023290067911148;-0.3554832935333252;-0.16654101014137268;-0.010796320624649525;-0.26909640431404114;-0.4133846163749695;0.3877326548099518;0.06407511979341507;-0.09774219989776611;0.2723832130432129;0.2122913897037506;0.12653328478336334;0.5681668519973755;0.37216559052467346;-0.10448385775089264;-0.8184895515441895;0.2364252507686615;-0.311475545167923;-0.38296496868133545;0.3043080270290375;-0.43768662214279175;-0.042208801954984665;0.1010468453168869;-0.1470574289560318;0.2846149802207947;-0.14992427825927734;-0.04645033925771713;-0.1969607025384903;0.41477569937705994;0.23394012451171875;-0.05939285084605217;-0.2056972235441208
gaspi;0.2097499817609787;0.11963553726673126;-0.2818218767642975;-0.48522743582725525;-0.2670806646347046;0.01449404377490282;0.1489412635564804;0.3014044165611267;-0.1937563717365265;0.06882078945636749;0.47132793068885803;-0.04318320378661156;0.6227328181266785;-0.09463328123092651;-0.10593285411596298;0.6596277952194214;-0.16502833366394043;-0.06127554178237915;0.25183817744255066;-0.3541247546672821;-0.20613522827625275;-0.23433777689933777;0.12001128494739532;0.014268363825976849;0.0373913012444973;0.5549988150596619;-0.23113402724266052;0.18248386681079865;-0.05641978234052658;-0.02544781006872654;-0.11775282770395279;0.34522876143455505;0.1463635116815567;-0.5001184344291687;-0.09751604497432709;0.24111764132976532;-0.21768784523010254;-0.2961064279079437;-0.251289427280426;0.25286421179771423;-0.030715445056557655;0.3289552330970764;-0.20687322318553925;-0.4497707784175873;-0.049020010977983475;-0.5978420376777649;0.05493798106908798;0.1342070996761322;-0.11228509247303009;-0.12330508232116699;0.16024892032146454;-0.030815398320555687;-0.14673352241516113;-0.09550018608570099;-0.24789825081825256;0.10243614763021469;0.10217452049255371;-0.5503814816474915;-0.017225485295057297;-0.031162206083536148;-0.47436991333961487;0.3179754912853241;-0.2793865203857422;-0.24931363761425018;-0.1456073373556137;0.3290424644947052;0.18349358439445496;0.5659435987472534;-0.05951787158846855;-0.29422083497047424;-0.10983119904994965;0.18222969770431519;-0.3343665599822998;-0.02424190193414688;0.39608579874038696;0.07428808510303497;0.014730455353856087;0.08554895967245102;0.3103941082954407;0.1021784096956253;0.22814130783081055;0.37132298946380615;-0.07523100823163986;-0.777948260307312;-0.2112312763929367;0.03910138085484505;-0.23386192321777344;0.41467347741127014;-0.059678565710783005;0.06256742030382156;-0.09167037159204483;-0.5958174467086792;0.31027910113334656;0.19912371039390564;-0.20759427547454834;0.022742871195077896;0.05195403844118118;0.5115518569946289;-0.029660388827323914;-0.28497669100761414
famines;-0.2552494406700134;0.3074541389942169;-0.25194472074508667;-0.14656241238117218;-0.26562005281448364;-0.2784616947174072;-0.034070514142513275;0.41613397002220154;-0.5117859840393066;0.16006377339363098;0.4045281410217285;-0.5650469064712524;0.2757279574871063;-0.3244243264198303;-0.3296486735343933;0.2887886166572571;-0.09444482624530792;-0.0032555670477449894;-0.12854930758476257;-0.45306262373924255;0.1900576949119568;-0.3988019824028015;0.5582906007766724;-0.23073217272758484;0.06786243617534637;-0.12561321258544922;0.12020847946405411;0.2483755648136139;0.29757681488990784;0.22347287833690643;-0.13570627570152283;0.05393723398447037;0.0583219900727272;-0.2585393488407135;-0.2779580056667328;0.18201874196529388;-0.10663557052612305;0.004875943064689636;-0.23295831680297852;-0.12911519408226013;-0.03135957568883896;0.030212562531232834;-0.013541484251618385;-0.5386531949043274;0.1165909543633461;-0.6367608904838562;0.11666201055049896;0.38031601905822754;-0.4231286644935608;-0.03521175682544708;-0.08088628947734833;-0.0032729327213019133;-0.4415021538734436;0.042495161294937134;-0.20814351737499237;-0.24923281371593475;0.27224594354629517;-0.025780905038118362;0.3086797595024109;0.19440016150474548;-0.38751181960105896;0.13073669373989105;0.004129186272621155;0.06217043474316597;-0.17749783396720886;0.035411957651376724;-0.03244846686720848;0.3972407281398773;0.13355174660682678;-0.3064062297344208;-0.10772053897380829;0.08218394219875336;-0.26655691862106323;-0.17395222187042236;0.08391619473695755;0.128771111369133;-0.08387283980846405;-0.11024385690689087;0.3173764944076538;-0.11774109303951263;0.222377747297287;0.4752548635005951;0.1482333540916443;-0.4699036478996277;0.1377040445804596;-0.07273603230714798;-0.3730749487876892;0.06837587058544159;-0.6549698114395142;0.24546897411346436;-0.4569147229194641;-0.02640368416905403;0.41447019577026367;-0.0910203829407692;-0.20508790016174316;-0.40835028886795044;0.1729898899793625;0.486000120639801;-0.2710809111595154;0.009524514898657799
gazole;0.22248776257038116;0.4126400053501129;-0.40090322494506836;-0.5378463864326477;-0.858010470867157;0.2648835778236389;0.14371928572654724;0.36533594131469727;0.06530538946390152;-0.36830392479896545;0.17246749997138977;-0.19579236209392548;0.2999263107776642;-0.00338344881311059;0.05918257310986519;0.3138357102870941;-0.3867141008377075;-0.3027001917362213;-0.5665264129638672;-0.025008171796798706;-0.40457648038864136;-0.5002780556678772;-0.17984767258167267;0.24654264748096466;-0.03097238764166832;-0.11749777942895889;0.21390724182128906;0.18127040565013885;-0.12364526093006134;0.2839353084564209;-0.41097840666770935;-0.40928372740745544;0.6295560598373413;-0.7033904194831848;-0.5035946369171143;0.3539065718650818;-0.043708570301532745;-0.07871098816394806;-0.27972176671028137;-0.14625807106494904;-0.18064308166503906;0.4011947512626648;-0.07163132727146149;-0.29095304012298584;0.32234683632850647;-0.557338297367096;0.4612092971801758;0.1251082718372345;-0.17365464568138123;0.047734592109918594;0.03477511554956436;-0.3114132285118103;0.1145993322134018;0.2489168643951416;-0.30717986822128296;-0.5633770227432251;-0.36198949813842773;-0.03532516211271286;-0.08692151308059692;0.15850351750850677;-0.30416423082351685;0.26557502150535583;0.22129876911640167;0.18216538429260254;-0.1358495056629181;0.3021433651447296;0.3670729696750641;0.5424620509147644;0.18576928973197937;-0.09902586787939072;0.2019270360469818;0.6707202196121216;-0.4331953525543213;0.014028862118721008;0.39687126874923706;0.188373401761055;-0.7112366557121277;0.10000818967819214;0.0840529277920723;-0.5446244478225708;-0.36512500047683716;0.46685975790023804;-0.41498422622680664;-0.37937846779823303;0.19082044064998627;0.7701308131217957;0.3719368577003479;0.4063706398010254;-0.148355171084404;-0.07296869158744812;-0.06986956298351288;-0.44632062315940857;0.547480046749115;0.3751451373100281;-0.1072598472237587;-0.34174641966819763;0.006908257957547903;0.24108120799064636;0.08544888347387314;-0.14134791493415833
séminal;-0.13087846338748932;0.4383160173892975;-0.03489341959357262;-0.07061054557561874;-0.01220888365060091;0.2505362331867218;0.07625744491815567;0.15642070770263672;-0.05372611805796623;-0.08342855423688889;0.12182006239891052;-0.2380472868680954;0.33038032054901123;-0.0749179795384407;-0.11468114703893661;0.31966784596443176;-0.1922878623008728;0.038650766015052795;-0.10787742584943771;-0.16306692361831665;-0.20812495052814484;-0.3940798044204712;0.1179160475730896;-0.14238382875919342;0.15159982442855835;-0.01951531320810318;0.13782542943954468;0.24460987746715546;0.05057993531227112;0.07384520024061203;-0.2943798005580902;0.08720797300338745;0.16329585015773773;-0.2605671286582947;-0.2892197072505951;0.16841493546962738;-0.3220691978931427;0.03340132534503937;-0.1460176557302475;-0.14095236361026764;-0.21964915096759796;-0.09947400540113449;-0.18449191749095917;-0.2754756212234497;-0.01349509134888649;-0.35600146651268005;-0.1426263153553009;-0.1545904129743576;-0.10052066296339035;-0.26147863268852234;0.04144410416483879;-0.11701253056526184;0.01054622232913971;-0.19976525008678436;-0.014301103539764881;0.03380061313509941;-0.2483409196138382;-0.04594947025179863;-0.06463775783777237;0.005414845887571573;-0.14726828038692474;0.18933361768722534;0.003798089921474457;-0.10195646435022354;-0.1250709891319275;0.14996972680091858;-0.037088703364133835;0.22862385213375092;0.2493048906326294;-0.12001391500234604;0.005838293582201004;0.12652473151683807;-0.10847266763448715;0.22578950226306915;0.172345831990242;0.0039061482530087233;0.08940845727920532;0.12336067110300064;-0.18546217679977417;-0.12812945246696472;0.1039956584572792;0.3344758450984955;0.044606346637010574;-0.26538729667663574;0.18177060782909393;-0.034759800881147385;0.06497346609830856;0.3296121656894684;-0.45482584834098816;0.08403980731964111;-0.028813086450099945;-0.18229830265045166;0.17794787883758545;0.2726318836212158;-0.1629789024591446;-0.4747408330440521;0.31211769580841064;0.31397202610969543;-0.2855583131313324;0.18246018886566162
sativex;0.21541056036949158;0.47344866394996643;-0.10120122134685516;-0.2342301905155182;-0.33012518286705017;-0.02559002675116062;0.07232354581356049;-0.047973375767469406;-0.21799568831920624;0.027085324749350548;0.12556524574756622;-0.37833017110824585;0.47663480043411255;0.053282201290130615;-0.24682340025901794;0.5273420810699463;-0.11796820163726807;-0.0231169406324625;0.09236065298318863;-0.2335493564605713;-0.11503177881240845;-0.020813552662730217;0.3266979157924652;-0.36560899019241333;0.03326070308685303;0.016261907294392586;-0.07320620119571686;0.03316239267587662;0.04066251963376999;0.12067952007055283;-0.08883702754974365;0.06240023300051689;0.36690187454223633;-0.07958651334047318;-0.2013414204120636;0.3638227880001068;-0.07860730588436127;-0.09577085077762604;-0.3082413077354431;-0.22829671204090118;-0.339246541261673;0.2683536410331726;0.1629430055618286;-0.1561230570077896;0.12492306530475616;-0.5540364980697632;0.06941866129636765;0.18109191954135895;0.09988038241863251;-0.3830912709236145;-0.03137310594320297;0.077084980905056;-0.0406954362988472;-0.042049676179885864;-0.16029401123523712;0.03999856114387512;-0.09471259266138077;-0.3326723575592041;0.11646229028701782;-0.10832057148218155;-0.3573148250579834;0.22137483954429626;0.18005627393722534;-0.2788642942905426;-0.11499158293008804;0.4140969216823578;0.38020268082618713;0.5298407077789307;0.04182685539126396;-0.042574524879455566;0.08394167572259903;0.19946551322937012;-0.1936730444431305;-0.07784778624773026;0.27834171056747437;0.022010227665305138;-0.14440679550170898;0.024322912096977234;0.02054757811129093;-0.29687023162841797;-0.039170365780591965;0.12305913865566254;-0.1295473873615265;-0.33236467838287354;0.1090361699461937;-0.045525986701250076;-0.1371719241142273;0.1393560916185379;-0.24737587571144104;-0.1666347235441208;-0.0651264488697052;-0.49437302350997925;0.15120026469230652;0.358778178691864;-0.09364272654056549;-0.31214410066604614;0.2046596109867096;0.13438835740089417;-0.031733423471450806;-0.05114244669675827
chimiques;-0.20594234764575958;0.8690693974494934;-0.5654117465019226;-0.33877354860305786;-0.39350569248199463;0.03765036538243294;0.23556408286094666;0.20158076286315918;-0.06008880212903023;0.07261308282613754;0.852506160736084;-0.47739583253860474;0.587775468826294;-0.37954437732696533;-0.03376694768667221;0.6045492887496948;-0.04356341436505318;-0.07750886678695679;0.04795295000076294;-0.4431350827217102;0.04248809069395065;-0.47844696044921875;0.10374824702739716;-0.5682650804519653;-0.03334610536694527;0.11175791919231415;-0.5348202586174011;0.34714221954345703;0.11564521491527557;-0.06086857244372368;-0.6966136693954468;-0.1080329418182373;-0.08423174917697906;-0.5390309691429138;-0.11789407581090927;0.45962589979171753;0.04477344825863838;-0.36325520277023315;-0.33795028924942017;0.2077060043811798;-0.11238912492990494;-0.07759475708007812;-0.18201038241386414;-0.3833770751953125;0.23780909180641174;-0.7260177731513977;-0.30502575635910034;0.25179335474967957;-0.5576406717300415;-0.11985403299331665;-0.30586376786231995;0.04056733101606369;-0.6636574864387512;-0.2704920172691345;0.09153447300195694;-0.20773403346538544;0.0323089137673378;-0.34482550621032715;0.08751972019672394;-0.0917193740606308;-0.13998301327228546;0.30646127462387085;-0.07702768594026566;-0.2717268764972687;-0.36352548003196716;-0.02452957257628441;-0.25004902482032776;0.28378456830978394;0.20232710242271423;-0.5743123292922974;0.13191428780555725;0.2584071755409241;-0.4623169004917145;0.06685618311166763;0.2841028571128845;-0.24712581932544708;0.0006729185697622597;0.012822313234210014;0.13153046369552612;0.13219396770000458;0.4127863943576813;0.2734280824661255;0.17536425590515137;-0.7262145280838013;0.579511284828186;-0.14849698543548584;-0.49474844336509705;0.41589245200157166;-0.9241625666618347;0.11450131982564926;-0.3767898976802826;-0.308383584022522;0.4544793665409088;-0.10177619755268097;-0.29120492935180664;-0.5189129114151001;0.07294125854969025;0.493673712015152;-0.5575078129768372;-0.07863559573888779
