;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
relocaliser;0.3570691645145416;0.17056134343147278;-0.020951993763446808;-0.2990924119949341;-0.40362411737442017;-0.20902004837989807;0.17704221606254578;0.1992620825767517;-0.22119972109794617;0.1671782284975052;0.14693711698055267;-0.5036508440971375;0.6239150762557983;-0.2047155797481537;-0.4968387186527252;0.5941300988197327;-0.01569303870201111;-0.44769197702407837;-0.20204296708106995;-0.41086262464523315;-0.0840597003698349;-0.4162861704826355;0.26751068234443665;-0.2906089127063751;0.05013366788625717;0.3624386191368103;-0.22978754341602325;-0.1791035681962967;-0.054467152804136276;0.23979362845420837;-0.01758456602692604;0.17647340893745422;0.2510375380516052;-0.49199286103248596;0.02819661796092987;0.3888986110687256;0.11827236413955688;0.03067302331328392;-0.36274901032447815;-0.3633769154548645;-0.08559031039476395;0.012561231851577759;-0.03582116216421127;-0.3941252827644348;0.35100287199020386;-0.6601741909980774;0.29097580909729004;0.06876640021800995;-0.39522892236709595;-0.2099032700061798;0.2919694781303406;0.07701976597309113;-0.41209059953689575;-0.07342815399169922;-0.26415008306503296;-0.14762702584266663;0.006209691055119038;-0.3756695091724396;0.0019823922775685787;-0.06125278025865555;-0.4324401915073395;0.058307450264692307;0.08312781900167465;0.17153482139110565;-0.15836235880851746;0.10746922343969345;0.2454777956008911;0.28924113512039185;-0.08386269956827164;-0.2518431544303894;0.20364293456077576;0.36569076776504517;-0.29499685764312744;-0.23861174285411835;0.4488917887210846;-0.05637088418006897;0.06885679066181183;0.10585866123437881;0.004023456480354071;-0.30358728766441345;0.05572640895843506;0.18573793768882751;-0.008997807279229164;-0.31609371304512024;0.02750902995467186;-0.2560182809829712;-0.03257668763399124;0.39332398772239685;0.06332137435674667;0.2509000897407532;0.1252220720052719;-0.5927518606185913;0.6395465135574341;0.08130000531673431;-0.1324891746044159;-0.413154661655426;0.3453023433685303;0.11303899437189102;-0.23689720034599304;0.15494611859321594
dopants;0.05608334392309189;0.5380262136459351;0.038658078759908676;-0.47271889448165894;-0.40548139810562134;-0.0006073236581869423;0.11626388132572174;0.032344672828912735;0.28289464116096497;-0.06947696208953857;0.6425436735153198;-0.3483199179172516;0.4174225330352783;-0.21344485878944397;-0.3111838698387146;0.6558321714401245;-0.26661401987075806;-0.17741690576076508;-0.04557424038648605;-0.19224503636360168;-0.24507972598075867;-0.2811013162136078;0.32900291681289673;-0.345009446144104;0.14119787514209747;0.2858556807041168;-0.13907185196876526;0.44236940145492554;0.06558524817228317;0.1656438559293747;-0.4918955862522125;0.03747214749455452;0.28975120186805725;-0.21602864563465118;-0.0772199034690857;-0.1406172811985016;-0.10292240232229233;-0.4315718710422516;-0.3479323387145996;0.01090055238455534;-0.0023819715715944767;-0.11769600212574005;0.043524209409952164;-0.255104660987854;0.06425662338733673;-0.7776103019714355;-0.09768382459878922;-0.09274836629629135;-0.5633882284164429;-0.18483808636665344;0.07378458976745605;0.3085711598396301;-0.22257789969444275;-0.09429048001766205;-0.38043585419654846;-0.16347870230674744;0.12671682238578796;-0.3659328818321228;-0.04104326665401459;0.025596309453248978;-0.15717490017414093;0.10424865782260895;0.07001278549432755;-0.010076659731566906;-0.4144180417060852;-0.04823590815067291;-0.19296760857105255;0.09911046922206879;0.44300803542137146;-0.3129254877567291;-0.15119364857673645;0.11379893124103546;-0.4937979578971863;0.19495567679405212;0.36088550090789795;-0.013598330318927765;-0.16895528137683868;0.2502139210700989;-0.1455041766166687;-0.06603733450174332;0.06321679055690765;0.4419650137424469;-0.0017920180689543486;-0.4674763083457947;0.20121610164642334;0.007846271619200706;0.06990469992160797;0.01194889284670353;-0.14457274973392487;0.07488830387592316;-0.3266136050224304;-0.27700144052505493;0.5231257081031799;0.2340693175792694;-0.3163098692893982;-0.4801941514015198;0.3185310661792755;0.5827017426490784;-0.12822501361370087;0.3624735474586487
recyclage;0.35770663619041443;0.16769418120384216;0.12088241428136826;-0.4154788851737976;-0.3615306615829468;-0.043975114822387695;-0.02881034091114998;-0.16759687662124634;-0.13185495138168335;0.03505083918571472;0.37382686138153076;0.05140888690948486;0.3385832905769348;-0.4181935787200928;-0.08496881276369095;0.43313461542129517;-0.13812199234962463;-0.27411535382270813;-0.11178238689899445;-0.502712607383728;-0.43405580520629883;-0.1210823804140091;0.2577252686023712;-0.003792202565819025;0.17661023139953613;0.6707524061203003;-0.4427085518836975;0.2058834284543991;-0.43577224016189575;0.22873783111572266;-0.4801596999168396;0.2889517545700073;0.035923831164836884;-0.3547666072845459;-0.0270064864307642;0.3861630856990814;0.06353870034217834;0.0009997427696362138;-0.2845833897590637;0.08978085219860077;0.0821041688323021;0.08787325024604797;-0.30244526267051697;-0.20898020267486572;0.0429445281624794;-0.5153981447219849;0.4234910011291504;0.14903078973293304;-0.15208253264427185;-0.18412071466445923;0.3079669773578644;-0.4168599247932434;0.050027959048748016;0.3255104720592499;-0.1925758272409439;0.07953564077615738;-0.48835381865501404;-0.3775804042816162;-0.1847585141658783;0.19913537800312042;-0.6572580337524414;-0.021901074796915054;0.026006419211626053;-0.17732897400856018;-0.533331036567688;0.06471522152423859;0.2504982352256775;0.8126171231269836;-0.16950316727161407;-0.4838639199733734;-0.015507492236793041;0.30610936880111694;-0.4429141581058502;-0.14844374358654022;0.8481942415237427;-0.27952951192855835;-0.15115143358707428;0.1474708616733551;-0.12726980447769165;-0.1783532202243805;0.4327670633792877;0.5359463095664978;0.1328366994857788;-0.5209660530090332;-0.09592467546463013;0.18175199627876282;-0.1938510686159134;0.34729140996932983;-0.2842342257499695;-0.07584970444440842;0.12809771299362183;-0.46453532576560974;0.5860542058944702;0.1059829443693161;-0.502474308013916;-0.2881871461868286;0.18500559031963348;0.1866123229265213;-0.05772154778242111;-0.25993242859840393
repriser;-0.025028672069311142;0.13085255026817322;-0.09040552377700806;0.015618663281202316;-0.1310051828622818;0.3605380654335022;0.00724983774125576;-0.09589007496833801;-0.09511832892894745;0.30153483152389526;0.12178486585617065;-0.19106125831604004;-0.1366029679775238;-0.22840659320354462;-0.11719672381877899;0.15151752531528473;0.010249728336930275;-0.0853133499622345;0.07935367524623871;-0.24477601051330566;-0.3144340515136719;-0.31842905282974243;0.06035390868782997;-0.11591417342424393;0.14560671150684357;0.25516510009765625;-0.14919957518577576;0.1467612385749817;-0.036757417023181915;0.00040970981353893876;0.03899301961064339;0.020966902375221252;0.040292270481586456;-0.10808035731315613;-0.16026638448238373;0.28428396582603455;0.08912703394889832;-0.09216509759426117;0.012450432404875755;-0.006906650960445404;-0.19711899757385254;0.08174038678407669;-0.14279982447624207;-0.12259171903133392;0.1924779713153839;-0.20023563504219055;0.0966678336262703;0.004232259467244148;-0.26159074902534485;-0.006885224021971226;0.08120326697826385;0.04859807342290878;0.07783056795597076;-0.1919969916343689;-0.2709660232067108;0.01762167550623417;-0.0661763846874237;-0.18207600712776184;0.1622461974620819;0.03027839958667755;-0.1246182769536972;0.022553399205207825;0.18360237777233124;0.12578272819519043;-0.18734079599380493;0.1101960688829422;-0.09545224159955978;0.0858498364686966;0.2096365988254547;-0.16800600290298462;0.030970871448516846;0.09571358561515808;-0.1622520387172699;0.06496573984622955;0.19284245371818542;0.05825425311923027;-0.025226088240742683;0.16254273056983948;-0.24063682556152344;-0.16977559030056;0.09377004206180573;0.16907957196235657;-0.01450472604483366;-0.3639776110649109;-0.11566800624132156;0.005056027323007584;-0.038022369146347046;0.17601408064365387;-0.19575156271457672;0.0792262852191925;0.27388063073158264;-0.19275203347206116;0.12961122393608093;0.20396053791046143;-0.43870022892951965;-0.2735843062400818;0.2988198399543762;0.2597097158432007;-0.23608660697937012;-0.00533328577876091
rafistoler;0.10727890580892563;0.04731927439570427;-0.13796165585517883;0.17309710383415222;-0.19395165145397186;0.018534574657678604;0.0171493012458086;0.007399124093353748;0.07785241305828094;0.09078050404787064;0.14928263425827026;-0.24080848693847656;-0.10934432595968246;-0.31170153617858887;-0.22525258362293243;0.06096573546528816;-0.1389763504266739;-0.2548764944076538;0.0036547197960317135;-0.3226664960384369;-0.1467823088169098;-0.28363871574401855;0.13329079747200012;0.07280822843313217;0.21686086058616638;0.3384026885032654;-0.12111624330282211;0.1752949357032776;-0.1438177227973938;0.13343684375286102;-0.09191048890352249;-0.5269713401794434;0.20018529891967773;-0.32806819677352905;-0.3694857358932495;0.03908747807145119;0.11357583850622177;-0.0011257566511631012;0.05674533173441887;-0.21905095875263214;-0.46104851365089417;-0.15518000721931458;-0.06293465197086334;0.017382754012942314;0.26459380984306335;-0.5657018423080444;-0.22808201611042023;0.058642130345106125;-0.09711997210979462;-0.019201766699552536;0.28882017731666565;-0.018311450257897377;-0.09224692732095718;0.22582180798053741;-0.23044422268867493;-0.05602868273854256;-0.2009856253862381;-0.29184532165527344;-0.1414720118045807;-0.3520919978618622;-0.34662482142448425;0.107028529047966;0.3519703149795532;0.20649567246437073;-0.27653542160987854;0.2317311316728592;0.04377235099673271;0.20956480503082275;0.09803176671266556;-0.11453837156295776;-0.07647556811571121;0.14141526818275452;0.06040940433740616;0.10899108648300171;0.03871108219027519;-0.0474579855799675;0.07604217529296875;0.16858944296836853;-0.011541584506630898;-0.12356595695018768;0.011563802137970924;0.4154660105705261;-0.008121673949062824;-0.10642460733652115;0.15694232285022736;0.08072128891944885;-0.09862969815731049;0.1879805028438568;-0.052528463304042816;-0.06591905653476715;0.47129902243614197;0.1303010731935501;0.06115212291479111;0.4442521631717682;-0.14997655153274536;-0.20394377410411835;0.38370370864868164;0.18585467338562012;-0.10943669080734253;0.41220277547836304
détourer;-0.054882146418094635;0.3095760643482208;0.2483343631029129;-0.21419759094715118;-0.13613030314445496;0.2160169631242752;0.21793332695960999;-0.004252881743013859;0.01536357868462801;0.13654078543186188;0.3393273651599884;-0.12972450256347656;-0.08435006439685822;-0.018986159935593605;-0.3350156843662262;0.4037991464138031;0.03171078488230705;-0.44992828369140625;-0.16147848963737488;-0.07426829636096954;-0.04111931100487709;-0.11459338665008545;0.28982940316200256;-0.11499462276697159;0.37539348006248474;0.4281277656555176;-0.31101590394973755;-0.04983271285891533;0.08625806868076324;0.13229510188102722;-0.33250075578689575;-0.2374088317155838;0.2219865769147873;-0.07138065993785858;-0.14143940806388855;-0.060483019798994064;0.1780647188425064;0.0700628012418747;0.18396258354187012;0.060709863901138306;-0.40349501371383667;-0.06038597971200943;0.030265063047409058;0.06160396337509155;0.3773084282875061;-0.21529372036457062;0.009222554042935371;-0.061948131769895554;-0.3423791527748108;-0.2553682327270508;0.024002600461244583;-0.3455609381198883;0.05853024870157242;-0.16552740335464478;-0.22154538333415985;-0.22256383299827576;-0.20984771847724915;-0.1684216558933258;-0.034230224788188934;-0.7170466184616089;-0.17362669110298157;0.06796547025442123;0.32452186942100525;0.38564079999923706;-0.4977014660835266;0.025367802008986473;0.011045911349356174;0.2518698573112488;0.21326930820941925;-0.22049014270305634;-0.1709565818309784;0.06745345890522003;0.03252633288502693;-0.13290563225746155;0.3599573075771332;-0.13982078433036804;0.02491699531674385;-0.054741472005844116;-0.4231277406215668;-0.3771992623806;0.09532694518566132;0.13610677421092987;0.08078429847955704;-0.2253246009349823;0.23617129027843475;0.1545753926038742;-0.08664514869451523;0.09039202332496643;-0.34424787759780884;0.21277138590812683;0.5965930223464966;0.03035917319357395;0.047159530222415924;0.08232726901769638;-0.23413410782814026;-0.14511163532733917;0.24326133728027344;0.35660094022750854;-0.28422826528549194;0.4839812219142914
dégoogliser;0.12698818743228912;0.0672365203499794;-0.047532279044389725;-0.14436866343021393;-0.14673970639705658;0.12322010844945908;0.2489648312330246;0.06903953105211258;-0.1809186488389969;0.048791199922561646;-0.004302017856389284;-0.261659175157547;0.02613162249326706;-0.1769743710756302;-0.25174784660339355;0.27585306763648987;0.07735814154148102;-0.19142884016036987;0.06804460287094116;-0.2596554160118103;-0.09282853454351425;-0.23955269157886505;0.19078123569488525;-0.19738642871379852;0.1653469204902649;0.5501297116279602;-0.22468404471874237;-0.001861225231550634;0.10123231261968613;0.04313671216368675;-0.11713185161352158;-0.07254569232463837;-0.26626303791999817;-0.14902961254119873;-0.1354261189699173;0.028521383181214333;0.029679827392101288;-0.07144435495138168;-0.08607760816812515;-0.27325746417045593;0.03583311289548874;0.14262013137340546;-0.024936622008681297;-0.07353069633245468;0.2772568166255951;-0.5832447409629822;0.031241899356245995;0.0547771118581295;-0.10002177953720093;-0.07048556953668594;0.1990002542734146;0.039439987391233444;-0.07919678837060928;0.006946421694010496;-0.12116172909736633;-0.0954543948173523;0.002872214885428548;-0.3134107291698456;0.07522916048765182;0.009602485224604607;-0.6580591201782227;0.08881736546754837;-0.039192069321870804;-0.09201127290725708;-0.2332753688097;-0.051208168268203735;0.26398172974586487;0.16326718032360077;0.19958637654781342;-0.22841723263263702;-0.06540393084287643;0.2715129554271698;-0.02669629454612732;-0.05356762930750847;0.2486528903245926;0.05743935704231262;-0.047267720103263855;-0.11354362964630127;-0.011458027176558971;-0.027306795120239258;0.15062062442302704;0.3113830089569092;-0.11086400598287582;-0.35473743081092834;-0.12356021255254745;0.17034707963466644;-0.11840447038412094;0.2349838763475418;-0.07565011829137802;0.08094622194766998;0.03752267360687256;-0.13463902473449707;0.16990864276885986;0.22732944786548615;-0.21022796630859375;-0.21256287395954132;0.1032535508275032;0.054228514432907104;-0.21502995491027832;0.24621863663196564
mini-bar;0.2213258296251297;0.15845687687397003;0.18336661159992218;-0.09261782467365265;-0.2785162627696991;0.39109233021736145;0.06049269437789917;0.03605104982852936;-0.002249576151371002;0.11399096250534058;0.33271652460098267;-0.06879156827926636;0.19797663390636444;0.07804413884878159;-0.2100403606891632;0.1422801911830902;-0.054533183574676514;-0.022622551769018173;-0.11838152259588242;-0.2457069605588913;-0.22231511771678925;-0.1149374470114708;0.13525192439556122;0.03857202082872391;0.0603330060839653;0.33179575204849243;-0.11455240100622177;0.050216108560562134;0.07378986477851868;0.11119695752859116;-0.16940681636333466;-0.0871313214302063;0.07154161483049393;-0.15006113052368164;-0.2551107704639435;0.06221415847539902;0.18447087705135345;0.05744927003979683;-0.10668744891881943;0.10515391826629639;-0.057552535086870193;-0.14091439545154572;0.12018761783838272;-0.12114182859659195;-0.009261873550713062;-0.34079140424728394;0.07205182313919067;-0.33471351861953735;-0.03891563042998314;-0.11717528104782104;0.16937632858753204;0.12661544978618622;0.11402672529220581;-0.25827351212501526;-0.16274312138557434;0.10785238444805145;-0.28919240832328796;-0.37326866388320923;0.21847859025001526;0.11871369183063507;-0.037835586816072464;0.0325038880109787;0.07321301102638245;-0.022950105369091034;-0.40229377150535583;0.16534224152565002;0.02678869292140007;0.44277435541152954;-0.12818355858325958;-0.07462970912456512;-0.059284381568431854;0.23417282104492188;-0.13634373247623444;-0.28194791078567505;0.19829800724983215;0.10191527754068375;-0.018556879833340645;0.32566195726394653;-0.1006772369146347;-0.20822826027870178;0.09024754166603088;0.4656321406364441;0.06471952795982361;-0.3975982367992401;0.17655737698078156;0.1366637945175171;0.04525928571820259;0.2664269804954529;0.1047569066286087;0.035757094621658325;0.19802944362163544;0.01009686291217804;0.19939132034778595;0.22013239562511444;-0.27062568068504333;-0.2292059361934662;0.18233540654182434;0.263567715883255;-0.1550692915916443;0.019628873094916344
assortir;0.24951358139514923;0.146041601896286;0.13149544596672058;0.44989854097366333;-0.5137369632720947;0.6581810712814331;0.16028337180614471;0.029532333835959435;0.5798231363296509;0.6621881723403931;0.3547109365463257;-0.1493118405342102;0.006044842302799225;-0.3767930865287781;-0.525391697883606;0.5888533592224121;0.02406652644276619;-0.6568465828895569;-0.16515286266803741;-0.24275994300842285;-0.374677449464798;-0.33083510398864746;-0.1884506493806839;0.07390296459197998;0.10718723386526108;0.7863861918449402;-0.3915175497531891;0.3550276756286621;-0.09849150478839874;0.16805657744407654;-0.5967779755592346;-0.10573086887598038;0.288726806640625;0.010222000069916248;0.25783127546310425;-0.2025563269853592;0.12175891548395157;0.09695731103420258;-0.2692633271217346;0.14381837844848633;-0.3476399779319763;-0.5588855147361755;0.09104052186012268;0.09759726375341415;0.061060089617967606;-0.4316638112068176;0.5534802675247192;-0.31073346734046936;-0.3212818205356598;-0.3312120735645294;0.2915671169757843;0.07717125862836838;0.08749838918447495;-0.36721205711364746;-1.029489517211914;-0.14298775792121887;-0.4160454273223877;-0.2925315499305725;0.09476089477539062;-0.4018438756465912;0.25995734333992004;-0.09001792967319489;0.8161606788635254;0.41878995299339294;-0.5003186464309692;0.12356960773468018;0.2552275061607361;0.41992443799972534;-0.15432414412498474;0.027083585038781166;-0.09437723457813263;0.26263463497161865;0.17990009486675262;-0.14982686936855316;-0.04949857294559479;-0.44793033599853516;0.6159897446632385;0.17233338952064514;-0.4482731223106384;-0.7968077659606934;0.35468754172325134;0.05462811514735222;-0.10584922879934311;-0.26899832487106323;-0.09754709154367447;0.11939983069896698;-0.13281917572021484;-0.15160909295082092;-0.35669347643852234;0.16301867365837097;0.6065778732299805;0.22003062069416046;-0.3031337559223175;0.4668973386287689;-0.3987225592136383;-0.804731011390686;0.7170059084892273;0.428609699010849;-0.25147300958633423;0.28731614351272583
recyclent;-0.13321846723556519;0.32142919301986694;-0.037618763744831085;-0.35037487745285034;-0.12596309185028076;0.22561220824718475;-0.1111874133348465;0.27557262778282166;-0.20537996292114258;-0.04301160201430321;0.4593130052089691;-0.1428709328174591;0.17191100120544434;-0.49360665678977966;-0.11093591153621674;0.7738345861434937;0.06650777161121368;-0.7917791604995728;-0.0860569030046463;-0.4441402554512024;-0.07915876805782318;-0.6536836624145508;0.22193506360054016;-0.16726216673851013;-0.11438660323619843;0.7952257990837097;-0.29861727356910706;0.0044057127088308334;-0.28502196073532104;0.24685558676719666;-0.4568633437156677;0.24517107009887695;0.10904089361429214;-0.10735148191452026;-0.5607506632804871;0.19505524635314941;0.2626444101333618;-0.15736818313598633;0.12028998136520386;-0.2868299186229706;0.11540289223194122;-0.05992431193590164;-0.21900737285614014;0.016919611021876335;0.3588835597038269;-0.6427380442619324;0.0810621827840805;-0.22068949043750763;0.1517828404903412;-0.0034382238518446684;0.00674238707870245;0.18399694561958313;-0.11162719875574112;0.2371012270450592;-0.3689105808734894;0.007580804638564587;0.1358349621295929;-0.07958000898361206;-0.3919545114040375;0.15024735033512115;-0.37695997953414917;-0.043435800820589066;0.04950758069753647;0.009172442369163036;-0.31574907898902893;-0.45719751715660095;-0.2595173716545105;0.12917999923229218;0.1385418027639389;0.03458406403660774;0.12874379754066467;0.19747135043144226;-0.23516042530536652;-0.24700765311717987;0.5893474817276001;-0.09605184942483902;0.3152160048484802;0.3881147503852844;-0.0112371277064085;0.17385731637477875;0.09780164808034897;0.703705906867981;0.564860463142395;-0.12489388138055801;0.31890085339546204;-0.3665955364704132;-0.08926655352115631;0.050671547651290894;-0.33481550216674805;0.21928170323371887;-0.05432691052556038;-0.163160040974617;0.48306912183761597;0.14391088485717773;-0.4622611999511719;-0.3680821359157562;0.012433921918272972;0.2908725440502167;-0.17496660351753235;0.2204183042049408
