;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
partisocialiste;0.25599199533462524;-0.17102572321891785;-0.23881900310516357;0.1151738315820694;-0.5362091660499573;0.14454351365566254;-0.08791233599185944;0.18777576088905334;-0.6025101542472839;0.5547457337379456;0.007918131537735462;-0.3127339780330658;-0.13188830018043518;0.09842826426029205;-0.27096205949783325;0.14041021466255188;-0.1634986400604248;-0.05343478173017502;0.47223156690597534;-0.4760516285896301;-0.129587322473526;0.27711576223373413;0.20967049896717072;-0.26315003633499146;-0.24615013599395752;0.24749250710010529;-0.003442609217017889;-0.2791944146156311;-0.04928843304514885;0.35674232244491577;-0.19769859313964844;0.14638319611549377;0.03791555017232895;-0.3755224049091339;-0.41944360733032227;0.433298259973526;-0.28532934188842773;0.23367199301719666;0.16283535957336426;-0.33871692419052124;0.02999599650502205;0.1647680103778839;-0.2195741832256317;-0.31653276085853577;-0.13008712232112885;-0.5952848196029663;0.31491535902023315;0.5043402910232544;0.059249140322208405;-0.05453632026910782;0.28397005796432495;-0.0660250335931778;-0.08154673129320145;0.5203795433044434;-0.38421934843063354;-0.11415635049343109;0.17132434248924255;-0.2627505958080292;0.28494781255722046;0.148702934384346;-0.725340723991394;0.39766019582748413;0.5446621179580688;-0.0038213811349123716;-0.036914341151714325;0.2556754946708679;0.5626333355903625;0.3090301752090454;-0.059287846088409424;0.009973143227398396;-0.408885657787323;0.057637881487607956;-0.1314319670200348;-0.06933768838644028;-0.05289418622851372;0.1476392298936844;-0.13861200213432312;0.076667919754982;-0.2623262405395508;0.2769237160682678;-0.1522022783756256;0.6471102237701416;-0.15569579601287842;-0.09557773917913437;-0.23755352199077606;-0.06173256039619446;-0.4407750070095062;0.18566665053367615;-0.6749617457389832;0.6032498478889465;0.2603805363178253;-0.3245285749435425;0.863489031791687;0.14483097195625305;-0.0870840772986412;-0.19853156805038452;0.21455195546150208;0.29264795780181885;0.2581494450569153;-0.14564330875873566
électoralisme;0.09007712453603745;-0.037278883159160614;-0.248550683259964;-0.20484492182731628;-0.429347425699234;0.11903677880764008;0.20615887641906738;0.06254039704799652;-0.16938930749893188;0.20269981026649475;0.15718384087085724;-0.4562067985534668;0.06954067200422287;0.1905948519706726;-0.38634631037712097;0.5293811559677124;-0.2085001915693283;-0.07005348801612854;0.20624125003814697;-0.613449215888977;0.16478320956230164;-0.04041609913110733;0.12607376277446747;-0.20475336909294128;0.11039453744888306;0.06482015550136566;0.05596637725830078;-0.034025367349386215;0.08440955728292465;-0.002660013735294342;-0.21722328662872314;0.2503175735473633;0.24852481484413147;-0.5077546834945679;-0.3752273917198181;0.32210594415664673;-0.34582051634788513;0.03079790435731411;-0.04552225023508072;-0.15491312742233276;0.059486497193574905;-0.03074061870574951;-0.15675143897533417;-0.550925076007843;-0.1528153419494629;-0.6478443145751953;0.11038456857204437;0.10980330407619476;-0.2098255604505539;-0.46029385924339294;-0.029704343527555466;-0.020031655207276344;-0.3601779341697693;0.13972271978855133;-0.19802774488925934;-0.31354114413261414;0.12342693656682968;-0.14244051277637482;-0.010363076813519001;-0.05983560159802437;-0.486234188079834;0.35738304257392883;0.2821865677833557;0.3286220133304596;-0.23812584578990936;0.3460390567779541;0.3319036066532135;0.1891346424818039;0.1166801005601883;0.08039590716362;-0.00499912491068244;0.3365565836429596;-0.07999469339847565;0.10425631701946259;0.13625207543373108;0.4146044850349426;0.22788898646831512;-0.016880476847290993;0.05203065276145935;-0.044219113886356354;0.5307232141494751;0.684929370880127;-0.10268484055995941;-0.3026311993598938;-0.19151996076107025;0.007542426697909832;-0.28000861406326294;0.17493987083435059;-0.5579184293746948;0.5561751127243042;-0.0935828685760498;-0.14793744683265686;0.5770387053489685;0.23920838534832;-0.13324646651744843;-0.2120625078678131;0.05087711662054062;0.4046592712402344;0.03328303247690201;-0.13672049343585968
circo5901;0.1365508735179901;0.0016464978689327836;-0.06854209303855896;-0.28190743923187256;-0.389141321182251;0.0583682544529438;0.12860363721847534;0.08343721926212311;-0.2368265688419342;0.4733242094516754;0.13375498354434967;-0.28054866194725037;-0.02335190400481224;0.05853947252035141;-0.04427022486925125;0.3307993710041046;-0.09197846800088882;-0.1152820959687233;0.2837696671485901;-0.33277034759521484;0.027301257476210594;-0.02570885419845581;0.19869555532932281;-0.04585766792297363;-0.2774500250816345;0.26925429701805115;-0.05446378141641617;-0.013950444757938385;0.00164842011872679;0.15405528247356415;0.059401292353868484;-0.008391126990318298;0.20092813670635223;-0.28294530510902405;-0.09640773385763168;0.11537028849124908;-0.16372713446617126;0.028982067480683327;0.08033643662929535;-0.2687295377254486;-0.0060530174523591995;-0.01289554126560688;-0.12979725003242493;-0.3451690077781677;0.006429693661630154;-0.4707353711128235;0.2445611208677292;0.018319478258490562;0.08870496600866318;-0.10757921636104584;0.1321486234664917;0.020549416542053223;-0.09420778602361679;0.04603756591677666;-0.2533048391342163;-0.04632352292537689;0.16167569160461426;-0.1940058022737503;0.3037610650062561;0.07808084040880203;-0.5612277388572693;0.1885700225830078;0.3106723725795746;0.0022570013534277678;-0.12370134890079498;0.06957168877124786;0.25166618824005127;0.3493581712245941;0.012121099047362804;0.012292271479964256;-0.13919620215892792;0.13026520609855652;-0.06399510055780411;-0.33458444476127625;0.1779479682445526;0.12736237049102783;0.006700165569782257;0.10623519122600555;0.006310035474598408;0.14987905323505402;-0.04828643798828125;0.3657649755477905;-0.10552923381328583;-0.21614642441272736;-0.12174840271472931;-0.015320325270295143;-0.21737194061279297;0.182178795337677;-0.25467681884765625;0.3354014456272125;0.23364326357841492;-0.2138148993253708;0.41941389441490173;0.3286563456058502;-0.1564299613237381;-0.06241636723279953;0.1792171597480774;0.3067924976348877;-0.0010134547483175993;-0.13355180621147156
extcirco01;0.23336362838745117;0.015619208104908466;-0.059391140937805176;-0.2540559470653534;-0.10999542474746704;-0.08287448436021805;0.0357750803232193;0.19819049537181854;-0.34469011425971985;0.3730330765247345;0.00914201233536005;-0.3601542115211487;0.09914378076791763;0.05972877889871597;-0.20669107139110565;0.2734798192977905;-0.004153751768171787;-0.1542949378490448;0.1766989529132843;-0.23885568976402283;0.09664648771286011;-0.000560144311748445;0.28766563534736633;-0.16028735041618347;-0.15216825902462006;0.09249509125947952;-0.07915504276752472;-0.1845419555902481;-0.030853206291794777;0.1496429145336151;0.10033701360225677;0.09405360370874405;0.2677209973335266;-0.04571161046624184;-0.027497489005327225;0.07024252414703369;-0.17549005150794983;0.07437208294868469;-0.011458048596978188;-0.20568332076072693;0.10015060007572174;-0.12405084073543549;-0.05259159952402115;-0.19151178002357483;-0.10691092163324356;-0.33755427598953247;0.12259398400783539;0.039535004645586014;0.06402544677257538;-0.29299405217170715;0.10902199894189835;0.11167766898870468;-0.07883550971746445;0.12384643405675888;-0.2806704640388489;-0.09305568784475327;0.10781244933605194;-0.22269371151924133;0.20783083140850067;0.08865439146757126;-0.3076040744781494;0.0018177516758441925;0.3283599019050598;-0.018547996878623962;0.079680435359478;0.038556989282369614;0.2565074563026428;0.15966738760471344;0.06987105309963226;0.15566767752170563;-0.027723070234060287;0.22922730445861816;-0.2634672224521637;-0.25580212473869324;0.24681632220745087;0.050781749188899994;-0.0819016546010971;-0.023882366716861725;-0.07161621004343033;0.05322767049074173;-0.1263846904039383;0.3619152903556824;-0.14228440821170807;-0.34668442606925964;-0.019803661853075027;-0.10670991241931915;-0.2931768000125885;0.25175029039382935;-0.25649338960647583;0.32536086440086365;0.1919785588979721;-0.16190218925476074;0.3608197867870331;0.2023586928844452;-0.1158759593963623;0.052079588174819946;0.19752316176891327;0.18177853524684906;-0.0177787896245718;-0.061595164239406586
francoisfillon;0.12755972146987915;-0.21157251298427582;-0.22548875212669373;-0.0591454915702343;-0.3560066819190979;-0.001179718878120184;-0.09838418662548065;-0.1676853448152542;-0.15097612142562866;0.1691911369562149;0.23320183157920837;-0.41766029596328735;-0.13274522125720978;0.07825665175914764;-0.3205904960632324;0.18656840920448303;-0.34243306517601013;-0.04191038757562637;0.48887646198272705;-0.238582044839859;-0.03912860527634621;0.2569561302661896;0.06180421635508537;-0.35168731212615967;-0.2300979197025299;0.26720941066741943;-0.07070370018482208;-0.08394418656826019;0.009266200475394726;0.146949902176857;-0.2514627277851105;-0.032113369554281235;0.03758885711431503;-0.08294056355953217;-0.3192911744117737;0.18654975295066833;-0.2918514013290405;-0.01277908869087696;0.07183309644460678;-0.18557223677635193;0.17107674479484558;-0.0029668770730495453;-0.2556116580963135;-0.2965077757835388;-0.03631138801574707;-0.5305929183959961;0.09840147197246552;0.01025619637221098;-0.01043231412768364;-0.05686502158641815;0.061359647661447525;-0.05088793486356735;0.06170634180307388;0.25156575441360474;-0.3590386211872101;0.010336581617593765;0.07565067708492279;-0.11388075351715088;0.14946682751178741;0.24910868704319;-0.6813752055168152;0.31516239047050476;0.2429390847682953;0.21487294137477875;-0.2165263295173645;0.32113441824913025;0.4389079809188843;0.17899960279464722;-0.06568962335586548;-0.11548207700252533;-0.10914554446935654;0.099222831428051;-0.055079761892557144;0.043791137635707855;0.04487733542919159;0.3991522789001465;0.02989472635090351;0.10001210868358612;-0.2812045216560364;0.1215858981013298;0.13967420160770416;0.28644198179244995;-0.11025507748126984;-0.2652687430381775;-0.206778883934021;-0.046588245779275894;-0.10280010104179382;0.10295326262712479;-0.40868306159973145;0.362959086894989;0.0759643167257309;-0.5157654881477356;0.4401756525039673;0.35797107219696045;-0.24620550870895386;-0.24112430214881897;0.24690791964530945;0.39842331409454346;0.2098943591117859;-0.05588490888476372
réformatrice;0.13419678807258606;0.13569286465644836;-0.12015341222286224;0.25615257024765015;-0.09521603584289551;-0.12151143699884415;0.07171064615249634;0.1264023631811142;-0.3533423840999603;0.4296495318412781;-0.10950739681720734;-0.5064103007316589;-0.0300361979752779;0.09404664486646652;-0.39182841777801514;0.16510027647018433;-0.1626233458518982;-0.19376298785209656;0.3703928589820862;-0.5552893877029419;0.35378536581993103;-0.03515195474028587;0.1327386349439621;-0.22496473789215088;-0.13368596136569977;0.21975870430469513;-0.11643467843532562;-0.15302860736846924;0.002723265439271927;-0.018067970871925354;-0.11759375035762787;0.025302626192569733;-0.07686229050159454;-0.3659648299217224;-0.39850693941116333;0.37979617714881897;-0.3618152141571045;0.09087619930505753;-0.016947651281952858;-0.1910262405872345;-0.16526943445205688;0.03108195774257183;-0.10725465416908264;-0.5310084223747253;-0.27766796946525574;-0.6264666318893433;0.23637112975120544;0.2672649323940277;-0.3434033989906311;-0.06851503998041153;0.25184735655784607;0.12004126608371735;-0.025530073791742325;-0.22426697611808777;-0.18875762820243835;-0.30836737155914307;0.022867266088724136;-0.1927226185798645;0.05594366788864136;0.1442655473947525;-0.6124188899993896;0.24656473100185394;0.3254353404045105;0.1330072432756424;-0.014496315270662308;0.44945237040519714;0.24093097448349;0.26472824811935425;-0.021716540679335594;0.17572258412837982;-0.15416763722896576;0.09500528872013092;-0.16441282629966736;-0.13742555677890778;0.37914279103279114;0.33398282527923584;0.17805148661136627;0.15132644772529602;-0.04782798886299133;-0.07749864459037781;0.06814549118280411;0.4608592092990875;-0.38236215710639954;-0.142671599984169;-0.36040735244750977;-0.16826823353767395;-0.2851296365261078;0.06070270761847496;-0.1935136616230011;0.22315970063209534;0.2162533402442932;-0.3669315576553345;0.5642597675323486;0.16424375772476196;-0.11364668607711792;-0.057638734579086304;0.2483990490436554;0.38992100954055786;-0.1427844911813736;0.10342352092266083
congresps;0.09652281552553177;-0.49056291580200195;0.014741132967174053;0.3038530945777893;-0.6375487446784973;0.11550124734640121;-0.12340530008077621;-0.1352664828300476;-0.4084950089454651;0.5975601673126221;-0.1084483191370964;-0.3446813225746155;-0.4623457193374634;-0.09556283056735992;-0.42573195695877075;-0.006818976253271103;-0.3158993422985077;-0.049075864255428314;0.6669580936431885;-0.5923856496810913;-0.21278232336044312;0.47009599208831787;0.21287280321121216;-0.3653554916381836;-0.4564061760902405;0.5693540573120117;-0.006202109158039093;-0.08027364313602448;0.02639724686741829;0.22456176578998566;-0.21434175968170166;0.14738231897354126;0.04313588887453079;-0.8497083187103271;-0.3463740348815918;0.4170963168144226;-0.41174355149269104;0.3730285167694092;0.009234275668859482;-0.10347490012645721;0.029221592471003532;0.029019398614764214;-0.27540868520736694;-0.5702828168869019;0.007947034202516079;-0.5925592184066772;0.22516298294067383;0.35612112283706665;-0.10114181041717529;-0.04941035807132721;0.12895932793617249;-0.14123642444610596;-0.12939727306365967;0.44320428371429443;-0.3108000159263611;-0.23982436954975128;0.35743024945259094;-0.29019084572792053;0.32961034774780273;0.6235721111297607;-0.7353334426879883;0.29013997316360474;0.5413134098052979;0.012991340830922127;-0.11324822902679443;0.24418509006500244;0.9880779981613159;0.5469789505004883;-0.0982290506362915;0.030833527445793152;-0.48142731189727783;-0.007375463843345642;-0.07518509030342102;-0.34692391753196716;0.31629708409309387;0.322540819644928;0.10828036069869995;-0.30400413274765015;-0.11524265259504318;0.5267288088798523;0.2581811845302582;0.8760067224502563;-0.5459530353546143;-0.059897568076848984;-0.5043477416038513;-0.20961256325244904;-0.43557876348495483;0.10530361533164978;-0.35997602343559265;0.42147180438041687;0.5128021240234375;-0.6055979132652283;0.7070691585540771;0.10806102305650711;0.027199001982808113;-0.010309882462024689;0.24766850471496582;0.6347016096115112;0.20221102237701416;-0.2785491347312927
munalsace;0.3657556474208832;0.019241806119680405;-0.15126004815101624;-0.3395652770996094;-0.3155384361743927;0.08661560714244843;0.07180871814489365;-0.32798588275909424;-0.5554165244102478;0.8857409358024597;0.015086734667420387;-0.24925991892814636;0.06850504875183105;0.2556965947151184;-0.232403963804245;0.4340253472328186;-0.2944912612438202;-0.2721462547779083;0.2982652187347412;-0.4074607789516449;-0.029790718108415604;0.30816465616226196;0.41725367307662964;-0.14581723511219025;-0.12987835705280304;0.3130115866661072;-0.13441602885723114;-0.12934032082557678;0.32009658217430115;0.27070146799087524;-0.03898021951317787;0.16386936604976654;0.20643165707588196;-0.2055552452802658;-0.156910240650177;0.4371994137763977;-0.26197898387908936;0.2745298743247986;0.03130804002285004;-0.42108669877052307;-0.04995214566588402;-0.060387641191482544;-0.16777484118938446;-0.3563185930252075;0.09369935840368271;-0.622096598148346;0.33531877398490906;0.4076002240180969;-0.059911321848630905;-0.16174133121967316;0.11418981850147247;-0.21121244132518768;-0.3129979968070984;0.4198995530605316;-0.5812077522277832;-0.16354700922966003;-0.07449216395616531;-0.4648507237434387;0.27251020073890686;0.25847914814949036;-0.4658432602882385;0.40330570936203003;0.5413839221000671;-0.19988495111465454;-0.10198342800140381;0.06030522659420967;0.4520217776298523;0.2800266444683075;0.20827090740203857;0.16238419711589813;0.035565413534641266;0.4191570281982422;-0.43015527725219727;-0.3988080620765686;0.12288171052932739;-0.038723770529031754;0.1488458216190338;0.03472115471959114;-0.13900063931941986;0.13395002484321594;0.008457880467176437;0.680216908454895;-0.18410901725292206;-0.4622732698917389;-0.1967560201883316;0.1419794112443924;-0.1815963089466095;0.20373690128326416;-0.4111880362033844;0.6579551696777344;0.21469569206237793;-0.04055601358413696;0.7819622755050659;0.012987980619072914;-0.021192578598856926;-0.01829063892364502;-0.05837736278772354;0.38390347361564636;-0.06538493186235428;-0.2266567051410675
armeduvote;0.07470390200614929;0.10798358917236328;-0.24564819037914276;0.009465445764362812;-0.30773040652275085;0.06171773746609688;0.2878117263317108;-0.12954208254814148;-0.7600323557853699;0.5771554708480835;0.23305268585681915;-0.27704253792762756;-0.021377969533205032;0.1258041113615036;-0.20145569741725922;0.15283480286598206;-0.027521604672074318;-0.12918135523796082;0.3336728811264038;-0.34350860118865967;0.07919017970561981;0.1589563935995102;0.14475412666797638;-0.24886441230773926;0.057740241289138794;0.322125107049942;0.09045583754777908;0.007558677811175585;0.06398940831422806;0.18103981018066406;-0.01184684969484806;0.04539630934596062;-0.04682894051074982;-0.32023492455482483;-0.32188451290130615;0.15368516743183136;-0.2886517345905304;0.010374407283961773;0.1162492036819458;-0.24369390308856964;-0.17343078553676605;0.07840141654014587;-0.1062975823879242;-0.5329434275627136;-0.10655579715967178;-0.6535132527351379;0.3082389533519745;0.10249437391757965;0.05577125772833824;-0.256857693195343;0.055679239332675934;-0.004678927827626467;-0.06735512614250183;0.16097567975521088;-0.2965550422668457;-0.11250226199626923;-0.027515972033143044;-0.10975750535726547;0.04023601487278938;0.023117054253816605;-0.4951015114784241;0.34563738107681274;0.1345468908548355;0.1386643350124359;-0.09637770801782608;0.23266325891017914;0.24075040221214294;0.06534955650568008;0.02113913744688034;-0.020763620734214783;-0.015072199515998363;-0.196890726685524;-0.05694427341222763;-0.08636891841888428;0.12212029099464417;0.13454708456993103;0.20873628556728363;-0.012294892221689224;-0.2591577470302582;-0.03842924162745476;0.22971661388874054;0.35249507427215576;-0.3114742338657379;-0.11178449541330338;-0.00799867045134306;-0.1558043509721756;-0.4107915461063385;0.002216501161456108;-0.22444237768650055;0.18080398440361023;0.09290254861116409;-0.41675785183906555;0.45382753014564514;0.10881247371435165;-0.28017497062683105;-0.20201995968818665;0.09237746894359589;0.26465892791748047;0.11567442119121552;-0.2028672844171524
aignant;0.21987095475196838;-0.13709266483783722;-0.21288470923900604;-0.1935972273349762;-0.2252366542816162;0.18831634521484375;-0.1617569625377655;-0.3326631486415863;-0.3650702238082886;0.3118559718132019;0.34607046842575073;-0.32115718722343445;-0.15784916281700134;0.28941217064857483;-0.27430909872055054;0.48174676299095154;-0.3273555338382721;0.07124797999858856;0.5634315013885498;-0.22216300666332245;0.17205993831157684;0.1727110892534256;-0.16127407550811768;-0.09749601781368256;-0.4461144804954529;0.1722952127456665;0.063785120844841;-0.1938587725162506;0.03909935802221298;0.22939324378967285;0.16285516321659088;-0.29019755125045776;0.20716436207294464;-0.07693852484226227;-0.3654605746269226;0.3608521819114685;-0.134964257478714;0.04574400186538696;-0.050441157072782516;-0.2868434488773346;0.08242833614349365;-0.08571182191371918;0.07674489170312881;-0.22051742672920227;-0.2770271599292755;-0.4882780611515045;0.30032333731651306;-0.07506730407476425;0.1521599292755127;-0.2254510372877121;0.030575718730688095;0.09932609647512436;0.12715227901935577;0.21612302958965302;-0.11438224464654922;-0.4933012127876282;0.029561925679445267;-0.1077900156378746;0.3274304270744324;-0.13926160335540771;-0.6295033693313599;0.4267157018184662;0.20135316252708435;0.058075565844774246;-0.052817799150943756;-0.16933897137641907;0.16272249817848206;0.008668546564877033;0.2346888780593872;0.01135977078229189;-0.03247411176562309;0.18086107075214386;-0.09921356290578842;-0.17766422033309937;0.132744699716568;0.25518083572387695;0.0634932667016983;-0.20311634242534637;-0.3053649067878723;-0.02622932754456997;-0.24859240651130676;0.6808666586875916;-0.10659068822860718;0.1129937618970871;-0.027797933667898178;0.0017975240480154753;-0.4427924156188965;0.2448292225599289;-0.6576255559921265;0.2747923731803894;0.25046485662460327;-0.18325069546699524;0.5950596332550049;0.5106695294380188;-0.08862882852554321;-0.060049038380384445;0.2208056002855301;0.39985328912734985;0.07594531774520874;0.061591245234012604
