;2013;2014;2015;2016;2017;2018
user1;;;;1.6129032258064515;5.982905982905983;5.907172995780591
user2;;;;0.0;1.2048192771084338;7.000000000000001
user3;;;;3.0303030303030303;2.7777777777777777;
user4;;;;0.0;0.5291005291005291;0.0
user5;0.0;0.0;1.851851851851852;0.0;0.0;0.0
user6;;;;4.166666666666666;6.25;0.0
user7;;;0.0;0.0;5.882352941176469;
user8;;0.0;0.4291845493562232;0.0;0.0;0.0
user9;;0.0;;0.3861003861003861;0.20847810979847115;0.3968253968253968
user10;0.0;2.1052631578947367;0.0;0.0;0.0;2.631578947368421
user11;0.0;0.0;0.78125;0.0;0.0;0.0
user12;;0.0;0.0;0.3802281368821293;0.0;0.0
user13;0.0;0.8474576271186439;0.0;0.0;0.0;0.0
user14;0.0;0.09832841691248773;0.0;0.0;0.0;0.0
user15;0.0;0.1443001443001443;0.0;0.0;0.0;0.0
user16;;0.0;0.0;0.0;0.4926108374384237;0.0
user17;0.0;0.10822510822510822;0.0;0.0;0.0;
user18;0.0;0.2645502645502645;0.3105590062111801;0.0;;
user19;0.0;0.1718213058419244;0.0;0.0;0.0;0.0
user20;0.0;5.263157894736842;0.0;;;
user21;;0.0;0.0975609756097561;0.0;0.0;0.0
user22;;0.0;0.07352941176470587;0.0;0.0;0.0
user23;;0.18281535648994515;0.0;;;
user24;0.0;0.2202643171806168;0.0;0.0;;
user25;0.1990049751243781;0.0;0.0;;;
user26;;0.0;0.16181229773462785;0.0;0.0;0.0
user27;;;0.0;0.0;1.1494252873563218;0.0
user28;0.0;3.191489361702128;0.0;0.0;1.98019801980198;0.0
user29;0.0;0.0;2.3255813953488373;0.0;0.0;7.142857142857142
user30;;0.0;0.11961722488038275;0.0;0.0;0.0
user31;;0.10851871947911017;0.0;0.0;0.0;0.0
user32;;0.3401360544217687;0.0;0.0;0.12618296529968456;0.2657218777679362
user33;0.0;0.4830917874396135;0.0;0.0;;
user34;1.2345679012345678;0.0;;;;
user35;2.409638554216868;1.3671875;1.0989010989010992;1.0928961748633879;0.5524861878453038;0.6896551724137931
user36;;0.2079002079002079;0.1589825119236884;0.0;0.28735632183908044;0.0
user37;;0.0;0.0;0.0;1.2987012987012987;0.0
user38;;0.0;0.0;0.0;0.2386634844868735;0.7947976878612716
user39;;0.0;0.7518796992481203;0.0;0.0;0.0
user40;;0.1531393568147014;0.16666666666666669;0.0;;
user41;;0.0;0.0;0.0;0.17605633802816906;0.5617977528089888
user42;0.0;0.0;0.0;;;
user43;0.0;0.9118541033434651;0.7407407407407408;0.0;0.0;
user44;;0.0;0.0;1.940555146155736;;0.0
user45;;;;0.0;2.127659574468085;2.5
user46;0.0;0.7462686567164178;0.641025641025641;0.0;0.8849557522123894;1.5873015873015872
user47;;0.0;0.0;0.0;0.0;0.065359477124183
user48;;0.0;0.0;0.07168458781362007;0.0;0.0
user49;0.0;0.0;0.21645021645021645;;;
user50;;0.0723589001447178;0.0;0.0;0.0;0.0
user51;0.0;1.058201058201058;0.0;0.0;0.0;0.4914004914004914
user52;0.0;0.1718213058419244;0.0;0.0;0.0;0.0
user53;;0.0;0.0;0.04666355576294914;0.15923566878980894;0.08317161075686166
user54;;0.0;0.0;0.0;0.37735849056603776;0.16260162601626016
user55;;0.0;0.3717472118959108;0.0;0.0;0.0
user56;;0.3021148036253776;0.7246376811594203;0.4950495049504951;0.4196642685851319;0.3205128205128205
user57;;0.0;;0.19083969465648853;0.9569377990430622;0.92790863668808
user58;0.0;0.2538071065989848;0.0;0.0;0.0;0.0
user59;;0.0;0.0;0.5649717514124294;0.09337068160597572;0.11376564277588168
user60;0.0;0.0;0.0;1.818181818181818;0.0;0.0
user61;2.7777777777777777;0.0;0.0;0.8403361344537815;0.6535947712418301;0.0
user62;;0.0;0.0;0.4761904761904762;0.5905511811023622;4.4444444444444455
user63;;0.0;0.0;0.31496062992125984;0.3898635477582846;0.2770083102493075
user64;0.0;0.5988023952095809;0.0;0.5494505494505495;0.9259259259259258;0.0
user65;;0.30395136778115506;0.0;0.0;0.0;0.0
user66;;0.0;0.0;0.0;2.702702702702702;0.0
user67;;0.19801980198019806;0.8733624454148471;;;
user68;;0.9090909090909092;0.0;;;
user69;0.0;1.1904761904761905;0.0;5.882352941176469;0.0;0.0
user70;0.0;1.96078431372549;1.6949152542372878;4.166666666666666;14.285714285714285;0.0
user71;0.0;0.0;0.0;0.0;0.0;1.2987012987012987
user72;;0.0;0.0;0.3745318352059925;0.0;0.2956081081081081
user73;;0.0;0.0;0.4243281471004243;0.0;0.0
user74;;0.0;0.0;0.12779552715654952;0.0;
user75;4.545454545454546;3.571428571428571;6.779661016949151;2.8846153846153846;19.298245614035086;0.0
user76;0.0;0.0;0.0;0.0;0.38461538461538464;0.0
user77;0.0;0.11737089201877934;0.0;0.0;;
user78;;0.0;0.0;0.0;2.7777777777777777;
user79;0.0;0.13605442176870747;0.1620745542949757;0.0;0.0;0.0
user80;;0.0;0.0;0.0;0.0;0.4065040650406505
user81;;0.0;0.23923444976076555;0.0;0.0;
user82;;0.3558718861209964;0.0;0.0;0.0;0.0
user83;;0.0;0.0;0.0;0.2702702702702703;0.0
user84;;0.0;0.0;;;6.25
user85;0.0;;0.53475935828877;;;
user86;0.0;0.0;0.0;0.5847953216374269;2.564102564102564;0.78125
user87;;0.0;0.0;0.0;0.3284072249589491;0.0
user88;;0.0;0.0;0.0;0.2958579881656805;0.0
user89;;0.0;0.0;0.0;0.06662225183211193;0.0
user90;0.07429420505200594;0.0;;;;
user91;;0.9433962264150944;2.0;1.30718954248366;5.128205128205128;1.0344827586206895
user92;;0.0;;0.0;0.38461538461538464;0.4484304932735426
user93;0.0;0.0;0.0;7.142857142857142;0.0;5.263157894736842
user94;;0.0;0.0;0.0;0.1567398119122257;0.0
user95;;0.0;0.26041666666666663;0.4132231404958678;0.0;6.666666666666668
user96;;0.6369426751592357;0.0;0.0;0.0;
user97;;1.3215859030837005;1.2422360248447204;1.4925373134328357;1.851851851851852;0.0
user98;;0.0;0.4012841091492777;0.2398081534772182;0.0;0.0
user99;;1.9230769230769231;0.19665683382497545;0.0876424189307625;0.0;
user100;;0.0;0.0;0.6543075245365322;0.0;1.1131725417439702
user101;;0.1020408163265306;0.0;0.0;0.0706713780918728;0.03748125937031485
user102;;0.0;0.0;0.0;0.28653295128939826;3.8461538461538463
user103;0.1990049751243781;0.3508771929824561;0.0;0.0;0.0;0.0
user104;;0.0;0.0;0.0;0.0;0.21413276231263384
user105;1.851851851851852;0.0;0.0;0.21978021978021975;0.0;1.818181818181818
user106;0.2967359050445104;0.0;0.0;0.0;0.0;0.0
user107;;0.0;0.0;0.20242914979757085;0.0;0.0
user108;;0.0;0.398406374501992;0.0;0.0;0.0
user109;0.0;0.12285012285012285;0.0;0.0;0.0;0.0
user110;0.5102040816326531;2.631578947368421;0.0;0.0;0.0;0.0
user111;;0.5154639175257731;;;;
user112;;0.0;3.2258064516129035;0.14124293785310735;0.0;0.0
user113;1.96078431372549;0.0;0.0;0.0;1.3157894736842104;0.0
user114;;0.3110419906687403;0.0;;;
